X	Y
882.000	346.000
883.077	343.703
884.534	341.528
886.350	339.463
888.503	337.499
890.970	335.624
893.731	333.829
896.763	332.103
900.044	330.434
903.552	328.813
907.266	327.230
911.163	325.673
915.222	324.132
919.420	322.596
923.736	321.055
928.149	319.499
932.635	317.917
937.174	316.298
941.744	314.633
946.342	312.921
950.969	311.163
955.624	309.361
960.310	307.517
965.027	305.634
969.777	303.712
974.561	301.755
979.379	299.763
984.233	297.738
989.124	295.684
994.052	293.601
999.020	291.491
1004.028	289.357
1009.077	287.200
1014.168	285.022
1019.303	282.825
1024.481	280.611
1029.706	278.382
1034.977	276.139
1040.295	273.885
1045.662	271.622
1051.079	269.351
1056.547	267.075
1062.066	264.794
1067.639	262.512
1073.261	260.231
1078.928	257.953
1084.634	255.680
1090.375	253.417
1096.144	251.165
1101.938	248.928
1107.749	246.707
1113.574	244.506
1119.407	242.328
1125.243	240.174
1131.076	238.049
1136.901	235.954
1142.713	233.892
1148.507	231.867
1154.278	229.880
1160.019	227.935
1165.727	226.033
1171.395	224.179
1177.019	222.375
1182.593	220.623
1188.112	218.926
1193.571	217.287
1198.965	215.709
1204.287	214.194
1209.534	212.745
1214.699	211.365
1219.778	210.056
1224.767	208.821
1229.667	207.657
1234.484	206.564
1239.221	205.537
1243.882	204.574
1248.472	203.674
1252.994	202.833
1257.453	202.049
1261.853	201.319
1266.198	200.642
1270.491	200.013
1274.739	199.432
1278.943	198.895
1283.109	198.400
1287.240	197.945
1291.342	197.526
1295.417	197.142
1299.470	196.789
1303.505	196.466
1307.526	196.170
1311.538	195.899
1315.539	195.653
1319.522	195.439
1323.479	195.265
1327.403	195.136
1331.286	195.061
1335.120	195.044
1338.898	195.094
1342.610	195.218
1346.251	195.421
1349.812	195.711
1353.285	196.094
1356.662	196.578
1359.936	197.169
1363.099	197.874
1366.143	198.700
1369.060	199.654
1371.844	200.741
1374.491	201.959
1377.002	203.297
1379.377	204.747
1381.616	206.299
1383.721	207.944
1385.691	209.672
1387.527	211.474
1389.229	213.340
1390.798	215.261
1392.235	217.228
1393.539	219.230
1394.710	221.260
1395.746	223.317
1396.641	225.406
1397.389	227.532
1397.984	229.703
1398.419	231.923
1398.690	234.198
1398.790	236.534
1398.714	238.937
1398.455	241.412
1398.007	243.965
1397.368	246.601
1396.541	249.318
1395.533	252.112
1394.351	254.981
1393.002	257.921
1391.493	260.931
1389.830	264.005
1388.021	267.142
1386.071	270.338
1383.989	273.591
1381.781	276.896
1379.453	280.252
1377.012	283.654
1374.466	287.101
1371.822	290.588
1369.084	294.113
1366.262	297.673
1363.361	301.264
1360.384	304.884
1357.333	308.530
1354.210	312.198
1351.018	315.887
1347.759	319.593
1344.435	323.313
1341.047	327.045
1337.599	330.786
1334.091	334.532
1330.527	338.282
1326.909	342.031
1323.238	345.778
1319.517	349.519
1315.747	353.251
1311.932	356.973
1308.073	360.680
1304.172	364.370
1300.232	368.040
1296.254	371.687
1292.241	375.309
1288.194	378.902
1284.117	382.464
1280.010	385.991
1275.879	389.481
1271.730	392.926
1267.576	396.320
1263.426	399.655
1259.290	402.923
1255.180	406.118
1251.104	409.231
1247.075	412.256
1243.101	415.186
1239.194	418.012
1235.363	420.729
1231.620	423.327
1227.974	425.800
1224.436	428.142
1221.016	430.343
1217.724	432.397
1214.571	434.298
1211.568	436.036
1208.724	437.606
1206.049	438.999
1203.555	440.208
1201.240	441.232
1199.073	442.080
1197.020	442.764
1195.047	443.295
1193.121	443.685
1191.207	443.946
1189.271	444.089
1187.280	444.126
1185.198	444.068
1182.993	443.927
1180.650	443.714
1178.174	443.435
1175.571	443.099
1172.849	442.712
1170.015	442.284
1167.074	441.822
1164.035	441.333
1160.903	440.825
1157.685	440.306
1154.388	439.784
1151.019	439.266
1147.585	438.761
1144.092	438.275
1140.547	437.817
1136.954	437.390
1133.313	436.994
1129.624	436.628
1125.888	436.290
1122.104	435.980
1118.274	435.697
1114.396	435.440
1110.470	435.207
1106.498	434.997
1102.479	434.811
1098.414	434.645
1094.301	434.501
1090.142	434.375
1085.937	434.268
1081.686	434.179
1077.388	434.106
1073.045	434.049
1068.656	434.005
1064.221	433.975
1059.747	433.956
1055.240	433.944
1050.707	433.938
1046.155	433.934
1041.591	433.929
1037.023	433.921
1032.456	433.906
1027.898	433.883
1023.357	433.847
1018.838	433.797
1014.350	433.729
1009.898	433.640
1005.490	433.528
1001.134	433.390
996.835	433.223
992.601	433.024
988.438	432.791
984.355	432.519
980.357	432.208
976.452	431.853
972.641	431.457
968.915	431.027
965.266	430.572
961.688	430.099
958.170	429.617
954.707	429.134
951.289	428.657
947.908	428.194
944.557	427.755
941.227	427.347
937.911	426.977
934.600	426.654
931.286	426.387
927.962	426.182
924.619	426.049
921.249	425.995
917.856	426.017
914.472	426.086
911.129	426.171
907.862	426.242
904.703	426.266
901.687	426.213
898.847	426.053
896.217	425.752
893.831	425.282
891.721	424.609
889.922	423.704
888.467	422.535
887.387	421.072
886.666	419.319
886.255	417.298
886.102	415.034
886.157	412.554
886.369	409.880
886.687	407.039
887.061	404.055
887.440	400.954
887.774	397.759
888.010	394.496
888.100	391.190
887.991	387.865
887.652	384.544
887.114	381.238
886.424	377.955
885.628	374.706
884.771	371.498
883.902	368.342
883.064	365.245
882.306	362.217
881.673	359.267
881.211	356.404
880.966	353.636
880.985	350.974
881.315	348.426
882.000	346.000
