X	Y
886.000	416.000
888.780	413.934
892.229	412.403
896.272	411.349
900.834	410.713
905.839	410.438
911.212	410.465
916.877	410.736
922.760	411.193
928.783	411.778
934.872	412.432
940.952	413.098
946.947	413.716
952.784	414.232
958.433	414.620
963.912	414.892
969.242	415.060
974.443	415.137
979.535	415.136
984.538	415.070
989.473	414.951
994.359	414.791
999.218	414.604
1004.069	414.403
1008.933	414.199
1013.829	414.006
1018.773	413.836
1023.759	413.698
1028.775	413.599
1033.809	413.550
1038.849	413.556
1043.882	413.628
1048.896	413.773
1053.880	414.000
1058.821	414.317
1063.707	414.732
1068.526	415.253
1073.266	415.889
1077.915	416.648
1082.469	417.528
1086.926	418.526
1091.282	419.640
1095.535	420.866
1099.683	422.201
1103.723	423.641
1107.652	425.185
1111.468	426.827
1115.169	428.565
1118.751	430.397
1122.219	432.321
1125.588	434.345
1128.874	436.475
1132.095	438.720
1135.269	441.086
1138.411	443.581
1141.541	446.212
1144.674	448.987
1147.828	451.913
1151.019	454.998
1154.232	458.227
1157.396	461.555
1160.437	464.932
1163.281	468.308
1165.852	471.634
1168.076	474.861
1169.878	477.938
1171.185	480.817
1171.921	483.448
1172.022	485.793
1171.506	487.897
1170.431	489.847
1168.855	491.731
1166.836	493.636
1164.432	495.650
1161.698	497.848
1158.670	500.234
1155.379	502.784
1151.853	505.471
1148.122	508.269
1144.215	511.154
1140.162	514.099
1135.991	517.079
1131.732	520.068
1127.415	523.041
1123.068	525.972
1118.722	528.834
1114.396	531.606
1110.097	534.267
1105.832	536.799
1101.605	539.181
1097.422	541.396
1093.287	543.423
1089.207	545.244
1085.186	546.840
1081.231	548.191
1077.346	549.278
1073.536	550.083
1069.805	550.602
1066.148	550.875
1062.561	550.950
1059.037	550.877
1055.571	550.703
1052.158	550.476
1048.793	550.245
1045.470	550.057
1042.184	549.959
1038.927	549.955
1035.687	550.013
1032.457	550.101
1029.224	550.185
1025.979	550.234
1022.711	550.213
1019.410	550.091
1016.069	549.837
1012.714	549.488
1009.402	549.129
1006.190	548.847
1003.137	548.732
1000.299	548.870
997.735	549.351
995.500	550.260
993.594	551.600
991.897	553.201
990.279	554.873
988.604	556.425
986.742	557.666
984.567	558.417
982.048	558.644
979.220	558.411
976.120	557.786
972.784	556.835
969.248	555.625
965.548	554.223
961.721	552.697
957.803	551.110
953.822	549.485
949.800	547.807
945.759	546.060
941.720	544.230
937.705	542.299
933.735	540.253
929.833	538.075
926.019	535.750
922.317	533.262
918.746	530.596
915.327	527.738
912.060	524.699
908.937	521.496
905.951	518.151
903.095	514.682
900.359	511.110
897.736	507.453
895.219	503.732
892.799	499.967
890.469	496.176
888.221	492.379
886.052	488.598
883.993	484.856
882.084	481.180
880.363	477.597
878.872	474.131
877.650	470.811
876.737	467.662
876.174	464.710
876.000	461.982
876.229	459.481
876.773	457.125
877.518	454.810
878.350	452.430
879.156	449.882
879.823	447.060
880.246	443.872
880.457	440.348
880.573	436.603
880.714	432.752
881.001	428.914
881.553	425.203
882.490	421.736
883.933	418.630
886.000	416.000
