X	Y
1710.000	816.000
1713.594	811.262
1717.369	806.645
1721.320	802.143
1725.439	797.751
1729.720	793.464
1734.157	789.278
1738.742	785.186
1743.469	781.184
1748.332	777.266
1753.324	773.428
1758.437	769.664
1763.667	765.969
1769.004	762.338
1774.445	758.766
1779.980	755.248
1785.605	751.779
1791.312	748.353
1797.094	744.966
1802.946	741.611
1808.860	738.285
1814.830	734.982
1820.849	731.697
1826.910	728.424
1833.007	725.159
1839.133	721.896
1845.281	718.631
1851.446	715.358
1857.620	712.072
1863.801	708.771
1869.991	705.456
1876.189	702.127
1882.398	698.784
1888.619	695.427
1894.852	692.057
1901.098	688.674
1907.359	685.279
1913.636	681.871
1919.929	678.452
1926.240	675.021
1932.570	671.580
1938.920	668.127
1945.292	664.664
1951.685	661.190
1958.101	657.707
1964.542	654.215
1971.008	650.713
1977.500	647.203
1984.020	643.684
1990.568	640.157
1997.146	636.622
2003.754	633.080
2010.394	629.531
2017.067	625.975
2023.774	622.412
2030.516	618.844
2037.294	615.269
2044.109	611.690
2050.961	608.105
2057.854	604.516
2064.786	600.922
2071.759	597.324
2078.772	593.724
2085.827	590.120
2092.924	586.514
2100.063	582.906
2107.244	579.296
2114.469	575.686
2121.737	572.075
2129.049	568.465
2136.405	564.854
2143.806	561.245
2151.253	557.638
2158.745	554.032
2166.283	550.429
2173.868	546.829
2181.500	543.232
2189.179	539.640
2196.906	536.051
2204.681	532.468
2212.505	528.890
2220.378	525.318
2228.301	521.752
2236.274	518.194
2244.297	514.642
2252.371	511.099
2260.497	507.563
2268.674	504.037
2276.903	500.520
2285.185	497.013
2293.521	493.515
2301.909	490.029
2310.352	486.554
2318.849	483.091
2327.400	479.640
2336.007	476.201
2344.668	472.777
2353.375	469.371
2362.121	465.987
2370.899	462.629
2379.701	459.301
2388.521	456.006
2397.351	452.750
2406.184	449.536
2415.012	446.368
2423.828	443.250
2432.624	440.186
2441.394	437.179
2450.130	434.235
2458.825	431.357
2467.472	428.549
2476.062	425.814
2484.590	423.158
2493.047	420.584
2501.426	418.095
2509.720	415.697
2517.921	413.392
2526.023	411.185
2534.018	409.081
2541.898	407.082
2549.656	405.193
2557.286	403.419
2564.779	401.762
2572.129	400.227
2579.328	398.818
2586.368	397.539
2593.243	396.393
2599.945	395.386
2606.466	394.521
2612.800	393.801
2618.940	393.232
2624.877	392.816
2630.614	392.547
2636.161	392.408
2641.529	392.381
2646.727	392.450
2651.768	392.597
2656.660	392.804
2661.416	393.053
2666.045	393.329
2670.558	393.612
2674.966	393.886
2679.279	394.134
2683.508	394.337
2687.664	394.479
2691.757	394.542
2695.798	394.508
2699.797	394.361
2703.765	394.082
2707.713	393.655
2711.650	393.061
2715.588	392.291
2719.528	391.365
2723.471	390.315
2727.419	389.174
2731.372	387.974
2735.331	386.747
2739.297	385.526
2743.271	384.342
2747.253	383.228
2751.245	382.216
2755.247	381.339
2759.261	380.628
2763.287	380.115
2767.326	379.834
2771.379	379.815
2775.446	380.092
2779.530	380.697
2783.629	381.659
2787.733	382.980
2791.823	384.643
2795.880	386.630
2799.887	388.923
2803.823	391.503
2807.671	394.352
2811.412	397.453
2815.026	400.788
2818.497	404.337
2821.803	408.085
2824.928	412.011
2827.852	416.099
2830.556	420.330
2833.023	424.686
2835.232	429.149
2837.166	433.701
2838.806	438.325
2840.133	443.001
2841.128	447.712
2841.784	452.444
2842.123	457.194
2842.170	461.959
2841.951	466.737
2841.492	471.527
2840.820	476.326
2839.959	481.133
2838.936	485.945
2837.777	490.761
2836.507	495.579
2835.153	500.396
2833.741	505.211
2832.296	510.021
2830.844	514.826
2829.412	519.622
2828.025	524.407
2826.709	529.181
2825.491	533.941
2824.395	538.684
2823.448	543.409
2822.675	548.115
2822.085	552.800
2821.666	557.469
2821.405	562.122
2821.292	566.764
2821.312	571.396
2821.453	576.022
2821.704	580.643
2822.052	585.263
2822.484	589.884
2822.989	594.509
2823.553	599.140
2824.165	603.780
2824.812	608.432
2825.481	613.098
2826.161	617.781
2826.838	622.484
2827.501	627.208
2828.138	631.958
2828.735	636.735
2829.281	641.542
2829.768	646.379
2830.193	651.241
2830.552	656.127
2830.842	661.032
2831.060	665.953
2831.202	670.887
2831.266	675.830
2831.247	680.780
2831.144	685.732
2830.952	690.684
2830.668	695.631
2830.289	700.572
2829.812	705.501
2829.233	710.417
2828.550	715.315
2827.758	720.192
2826.855	725.046
2825.837	729.872
2824.701	734.667
2823.445	739.427
2822.064	744.151
2820.561	748.836
2818.941	753.482
2817.209	758.089
2815.370	762.657
2813.428	767.186
2811.390	771.675
2809.260	776.125
2807.043	780.535
2804.745	784.905
2802.369	789.236
2799.922	793.527
2797.408	797.777
2794.833	801.987
2792.201	806.157
2789.517	810.287
2786.787	814.375
2784.015	818.423
2781.207	822.430
2778.367	826.396
2775.501	830.321
2772.613	834.204
2769.700	838.044
2766.758	841.836
2763.781	845.579
2760.765	849.269
2757.705	852.902
2754.596	856.476
2751.432	859.988
2748.210	863.435
2744.923	866.814
2741.567	870.121
2738.138	873.353
2734.630	876.508
2731.038	879.583
2727.357	882.574
2723.583	885.478
2719.710	888.292
2715.734	891.014
2711.649	893.639
2707.451	896.166
2703.135	898.591
2698.700	900.915
2694.150	903.144
2689.487	905.280
2684.712	907.329
2679.829	909.294
2674.840	911.179
2669.747	912.988
2664.553	914.727
2659.261	916.398
2653.873	918.006
2648.390	919.556
2642.817	921.051
2637.154	922.495
2631.406	923.893
2625.573	925.248
2619.659	926.565
2613.667	927.849
2607.597	929.102
2601.454	930.330
2595.240	931.536
2588.956	932.725
2582.605	933.901
2576.191	935.068
2569.714	936.230
2563.179	937.389
2556.589	938.547
2549.948	939.703
2543.259	940.857
2536.526	942.009
2529.753	943.159
2522.944	944.307
2516.102	945.452
2509.232	946.594
2502.338	947.734
2495.422	948.871
2488.489	950.005
2481.543	951.136
2474.587	952.264
2467.626	953.389
2460.662	954.510
2453.701	955.628
2446.745	956.742
2439.798	957.853
2432.865	958.960
2425.948	960.062
2419.053	961.161
2412.182	962.256
2405.339	963.346
2398.529	964.432
2391.755	965.513
2385.020	966.590
2378.329	967.662
2371.686	968.729
2365.093	969.791
2358.548	970.846
2352.045	971.891
2345.578	972.924
2339.142	973.942
2332.729	974.942
2326.337	975.922
2319.957	976.879
2313.583	977.810
2307.212	978.713
2300.836	979.585
2294.450	980.424
2288.047	981.226
2281.623	981.989
2275.171	982.711
2268.685	983.388
2262.160	984.018
2255.590	984.599
2248.969	985.127
2242.292	985.600
2235.551	986.016
2228.742	986.371
2221.859	986.664
2214.896	986.891
2207.847	987.049
2200.707	987.137
2193.469	987.151
2186.127	987.089
2178.677	986.948
2171.117	986.728
2163.454	986.433
2155.697	986.068
2147.853	985.639
2139.931	985.149
2131.938	984.603
2123.883	984.006
2115.773	983.363
2107.617	982.678
2099.423	981.957
2091.199	981.203
2082.952	980.422
2074.691	979.619
2066.424	978.797
2058.158	977.963
2049.903	977.119
2041.665	976.272
2033.453	975.426
2025.275	974.586
2017.140	973.756
2009.054	972.941
2001.026	972.146
1993.064	971.375
1985.177	970.634
1977.371	969.927
1969.656	969.258
1962.039	968.633
1954.528	968.056
1947.132	967.532
1939.857	967.066
1932.713	966.662
1925.708	966.325
1918.848	966.059
1912.143	965.870
1905.591	965.749
1899.189	965.688
1892.933	965.675
1886.819	965.698
1880.843	965.747
1875.000	965.811
1869.289	965.878
1863.703	965.939
1858.240	965.981
1852.894	965.994
1847.664	965.966
1842.544	965.888
1837.530	965.747
1832.619	965.533
1827.807	965.235
1823.089	964.841
1818.463	964.342
1813.923	963.725
1809.466	962.980
1805.088	962.095
1800.786	961.061
1796.554	959.865
1792.390	958.504
1788.288	956.991
1784.245	955.345
1780.257	953.584
1776.319	951.726
1772.428	949.789
1768.578	947.790
1764.766	945.749
1760.987	943.682
1757.237	941.608
1753.513	939.545
1749.809	937.511
1746.122	935.523
1742.447	933.601
1738.780	931.761
1735.117	930.022
1731.454	928.401
1727.786	926.918
1724.115	925.579
1720.460	924.357
1716.843	923.217
1713.287	922.125
1709.816	921.047
1706.451	919.947
1703.216	918.791
1700.134	917.545
1697.228	916.173
1694.519	914.642
1692.032	912.916
1689.789	910.960
1687.813	908.741
1686.127	906.224
1684.749	903.381
1683.680	900.223
1682.913	896.774
1682.442	893.057
1682.260	889.095
1682.362	884.910
1682.741	880.527
1683.391	875.968
1684.305	871.257
1685.477	866.417
1686.901	861.470
1688.570	856.441
1690.479	851.351
1692.620	846.226
1694.987	841.086
1697.575	835.957
1700.376	830.860
1703.385	825.820
1706.595	820.859
1710.000	816.000
