X	Y
1677.000	924.000
1680.360	921.582
1684.148	919.670
1688.350	918.237
1692.953	917.257
1697.941	916.701
1703.301	916.542
1709.018	916.755
1715.078	917.311
1721.468	918.183
1728.172	919.344
1735.177	920.768
1742.468	922.427
1750.032	924.294
1757.854	926.341
1765.920	928.542
1774.216	930.870
1782.727	933.298
1791.440	935.797
1800.340	938.342
1809.412	940.906
1818.644	943.460
1828.021	945.978
1837.528	948.433
1847.151	950.798
1856.877	953.049
1866.697	955.184
1876.602	957.206
1886.585	959.119
1896.638	960.927
1906.753	962.633
1916.922	964.242
1927.137	965.756
1937.391	967.180
1947.674	968.517
1957.980	969.771
1968.300	970.946
1978.626	972.045
1988.951	973.072
1999.267	974.031
2009.565	974.925
2019.838	975.758
2030.077	976.535
2040.276	977.258
2050.425	977.931
2060.517	978.558
2070.544	979.143
2080.499	979.689
2090.373	980.201
2100.158	980.681
2109.846	981.134
2119.430	981.563
2128.901	981.971
2138.252	982.364
2147.474	982.744
2156.560	983.114
2165.502	983.480
2174.292	983.844
2182.922	984.210
2191.394	984.581
2199.717	984.958
2207.900	985.343
2215.953	985.737
2223.885	986.143
2231.704	986.562
2239.421	986.995
2247.044	987.445
2254.583	987.912
2262.046	988.399
2269.443	988.907
2276.784	989.438
2284.077	989.994
2291.332	990.575
2298.558	991.184
2305.763	991.823
2312.959	992.493
2320.153	993.195
2327.354	993.932
2334.573	994.705
2341.818	995.515
2349.099	996.365
2356.424	997.255
2363.803	998.189
2371.245	999.166
2378.756	1000.189
2386.330	1001.261
2393.962	1002.381
2401.646	1003.554
2409.376	1004.779
2417.145	1006.060
2424.948	1007.397
2432.779	1008.793
2440.631	1010.250
2448.498	1011.769
2456.375	1013.352
2464.256	1015.001
2472.134	1016.719
2480.003	1018.505
2487.858	1020.364
2495.692	1022.296
2503.500	1024.302
2511.274	1026.386
2519.010	1028.549
2526.701	1030.793
2534.341	1033.119
2541.924	1035.529
2549.445	1038.025
2556.896	1040.610
2564.272	1043.284
2571.568	1046.050
2578.776	1048.909
2585.884	1051.859
2592.877	1054.899
2599.740	1058.022
2606.457	1061.227
2613.012	1064.510
2619.390	1067.866
2625.575	1071.293
2631.551	1074.788
2637.304	1078.346
2642.816	1081.964
2648.074	1085.638
2653.062	1089.366
2657.762	1093.143
