X	Y
2748.000	1512.000
2747.054	1504.314
2747.223	1496.151
2748.457	1487.544
2750.704	1478.523
2753.912	1469.121
2758.029	1459.368
2763.005	1449.296
2768.787	1438.936
2775.324	1428.320
2782.565	1417.479
2790.458	1406.444
2798.950	1395.247
2807.992	1383.920
2817.531	1372.493
2827.516	1360.999
2837.895	1349.468
2848.616	1337.932
2859.629	1326.422
2870.881	1314.970
2882.322	1303.607
2893.898	1292.365
2905.560	1281.275
2917.255	1270.368
2928.933	1259.675
2940.576	1249.202
2952.186	1238.939
2963.769	1228.875
2975.327	1219.000
2986.865	1209.303
2998.388	1199.771
3009.899	1190.396
3021.404	1181.166
3032.906	1172.069
3044.408	1163.095
3055.917	1154.233
3067.435	1145.473
3078.968	1136.803
3090.518	1128.212
3102.091	1119.689
3113.691	1111.225
3125.321	1102.807
3136.987	1094.424
3148.692	1086.067
3160.440	1077.724
3172.236	1069.383
3184.084	1061.035
3195.989	1052.668
3207.954	1044.272
3219.983	1035.835
3232.081	1027.347
3244.252	1018.798
3256.498	1010.189
3268.819	1001.523
3281.218	992.806
3293.694	984.041
3306.249	975.234
3318.884	966.387
3331.601	957.506
3344.399	948.595
3357.281	939.659
3370.248	930.700
3383.300	921.725
3396.439	912.737
3409.666	903.740
3422.981	894.739
3436.387	885.738
3449.883	876.742
3463.472	867.754
3477.154	858.780
3490.930	849.823
3504.801	840.888
3518.769	831.979
3532.835	823.100
3546.999	814.256
3561.263	805.451
3575.628	796.689
3590.095	787.975
3604.665	779.313
3619.339	770.708
3634.118	762.163
3648.996	753.682
3663.964	745.268
3679.012	736.925
3694.132	728.654
3709.313	720.459
3724.547	712.343
3739.824	704.310
3755.135	696.361
3770.470	688.500
3785.821	680.731
3801.177	673.055
3816.530	665.476
3831.870	657.997
3847.187	650.622
3862.473	643.352
3877.718	636.190
3892.913	629.141
3908.049	622.207
3923.115	615.391
3938.103	608.695
3953.004	602.124
3967.807	595.679
3982.505	589.364
3997.086	583.182
4011.543	577.136
4025.866	571.228
4040.044	565.462
4054.070	559.842
4067.934	554.368
4081.626	549.046
4095.145	543.877
4108.496	538.863
4121.682	534.007
4134.708	529.310
4147.579	524.774
4160.299	520.402
4172.874	516.196
4185.306	512.157
4197.601	508.288
4209.763	504.591
4221.796	501.067
4233.707	497.720
4245.498	494.550
4257.173	491.561
4268.739	488.753
4280.199	486.130
4291.558	483.693
4302.819	481.444
4313.989	479.386
4325.070	477.520
4336.069	475.849
4346.988	474.374
4357.833	473.098
4368.604	472.031
4379.297	471.188
4389.913	470.581
4400.447	470.224
4410.899	470.131
4421.268	470.317
4431.548	470.794
4441.741	471.576
4451.843	472.678
4461.853	474.112
4471.768	475.894
4481.586	478.035
4491.306	480.551
4500.925	483.455
4510.442	486.761
4519.854	490.482
4529.160	494.632
4538.356	499.225
4547.440	504.265
4556.398	509.733
4565.220	515.613
4573.893	521.884
4582.405	528.528
4590.746	535.526
4598.902	542.860
4606.863	550.509
4614.616	558.456
4622.150	566.681
4629.453	575.166
4636.512	583.892
4643.317	592.839
4649.855	601.990
4656.115	611.324
4662.084	620.824
4667.752	630.471
4673.105	640.244
4678.133	650.127
4682.824	660.099
4687.177	670.146
4691.199	680.256
4694.896	690.416
4698.276	700.614
4701.344	710.838
4704.108	721.075
4706.574	731.313
4708.750	741.540
4710.641	751.743
4712.254	761.911
4713.597	772.030
4714.675	782.088
4715.496	792.074
4716.067	801.975
4716.393	811.778
4716.482	821.472
4716.341	831.043
4715.976	840.480
4715.393	849.776
4714.596	858.944
4713.587	868.002
4712.369	876.966
4710.946	885.854
4709.319	894.683
4707.493	903.470
4705.470	912.233
4703.253	920.989
4700.844	929.755
4698.247	938.549
4695.464	947.387
4692.498	956.286
4689.353	965.265
4686.030	974.341
4682.534	983.529
4678.867	992.849
4675.033	1002.308
4671.040	1011.902
4666.896	1021.623
4662.609	1031.466
4658.187	1041.424
4653.637	1051.490
4648.968	1061.658
4644.187	1071.921
4639.302	1082.273
4634.320	1092.708
4629.251	1103.219
4624.102	1113.798
4618.880	1124.441
4613.593	1135.140
4608.250	1145.889
4602.857	1156.681
4597.424	1167.510
4591.958	1178.370
4586.466	1189.253
4580.957	1200.154
4575.438	1211.065
4569.907	1221.977
4564.354	1232.873
4558.768	1243.739
4553.136	1254.559
4547.447	1265.319
4541.689	1276.002
4535.852	1286.593
4529.923	1297.078
4523.891	1307.440
4517.744	1317.664
4511.471	1327.736
4505.061	1337.640
4498.500	1347.360
4491.779	1356.881
4484.886	1366.188
4477.809	1375.266
4470.536	1384.099
4463.056	1392.672
4455.357	1400.969
4447.428	1408.976
4439.258	1416.677
4430.841	1424.066
4422.192	1431.167
4413.332	1438.009
4404.277	1444.621
4395.049	1451.032
4385.666	1457.272
4376.147	1463.369
4366.511	1469.353
4356.777	1475.253
4346.964	1481.098
4337.092	1486.917
4327.180	1492.739
4317.245	1498.594
4307.309	1504.510
4297.389	1510.518
4287.505	1516.645
4277.676	1522.921
4267.921	1529.376
4258.259	1536.038
4248.710	1542.936
4239.291	1550.100
4230.012	1557.532
4220.859	1565.187
4211.820	1573.018
4202.880	1580.976
4194.027	1589.011
4185.245	1597.077
4176.522	1605.124
4167.843	1613.104
4159.195	1620.967
4150.564	1628.667
4141.937	1636.153
4133.299	1643.378
4124.637	1650.293
4115.937	1656.850
4107.185	1663.000
4098.367	1668.694
4089.470	1673.884
4080.480	1678.522
4071.384	1682.558
4062.167	1685.945
4052.817	1688.648
4043.329	1690.692
4033.699	1692.119
4023.924	1692.969
4013.999	1693.284
4003.921	1693.105
3993.687	1692.472
3983.291	1691.428
3972.732	1690.012
3962.005	1688.267
3951.106	1686.233
3940.031	1683.951
3928.778	1681.463
3917.342	1678.810
3905.719	1676.032
3893.907	1673.170
3881.900	1670.267
3869.695	1667.363
3857.290	1664.499
3844.679	1661.716
3831.863	1659.046
3818.855	1656.494
3805.668	1654.062
3792.317	1651.750
