X	Y
2844.000	2010.000
2851.668	2005.756
2860.287	2002.019
2869.807	1998.764
2880.180	1995.966
2891.356	1993.600
2903.287	1991.642
2915.923	1990.065
2929.215	1988.846
2943.115	1987.959
2957.573	1987.380
2972.541	1987.083
2987.969	1987.043
3003.808	1987.237
3020.009	1987.637
3036.524	1988.221
3053.302	1988.962
3070.296	1989.835
3087.456	1990.817
3104.733	1991.881
3122.078	1993.004
3139.441	1994.159
3156.775	1995.322
3174.030	1996.469
3191.156	1997.573
3208.108	1998.612
3224.867	1999.583
3241.440	2000.500
3257.834	2001.378
3274.056	2002.230
3290.111	2003.072
3306.008	2003.917
3321.752	2004.779
3337.351	2005.674
3352.812	2006.615
3368.140	2007.617
3383.343	2008.694
3398.428	2009.860
3413.401	2011.130
3428.270	2012.519
3443.040	2014.040
3457.719	2015.707
3472.314	2017.536
3486.831	2019.540
3501.277	2021.735
3515.658	2024.133
3529.982	2026.750
3544.256	2029.599
3558.485	2032.696
3572.678	2036.055
3586.840	2039.689
3600.976	2043.610
3615.082	2047.807
3629.147	2052.266
3643.164	2056.969
3657.122	2061.900
3671.015	2067.045
3684.832	2072.386
3698.565	2077.908
3712.205	2083.595
3725.744	2089.431
3739.172	2095.400
3752.480	2101.485
3765.661	2107.672
3778.704	2113.943
3791.602	2120.283
3804.344	2126.677
3816.924	2133.107
3829.331	2139.558
3841.557	2146.014
3853.593	2152.459
3865.430	2158.877
3877.059	2165.252
3888.472	2171.568
3899.660	2177.810
3910.613	2183.966
3921.316	2190.051
3931.753	2196.086
3941.910	2202.094
3951.770	2208.094
3961.317	2214.109
3970.535	2220.160
3979.409	2226.267
3987.924	2232.453
3996.062	2238.738
4003.810	2245.144
4011.149	2251.691
4018.066	2258.403
4024.544	2265.298
4030.568	2272.400
4036.121	2279.729
4041.188	2287.306
4045.754	2295.153
4049.813	2303.277
4053.374	2311.672
4056.447	2320.328
4059.041	2329.236
4061.167	2338.387
4062.832	2347.773
4064.048	2357.384
4064.823	2367.211
4065.168	2377.246
4065.092	2387.479
4064.605	2397.903
4063.716	2408.507
4062.434	2419.282
4060.771	2430.221
4058.733	2441.313
4056.333	2452.551
4053.579	2463.923
4050.478	2475.413
4047.036	2487.000
4043.259	2498.664
4039.156	2510.386
4034.730	2522.145
4029.990	2533.921
4024.940	2545.695
4019.589	2557.446
4013.941	2569.154
4008.004	2580.799
4001.784	2592.361
3995.287	2603.820
3988.520	2615.156
3981.488	2626.350
3974.198	2637.380
3966.658	2648.228
3958.872	2658.872
3950.848	2669.293
3942.591	2679.471
3934.109	2689.385
3925.407	2699.018
3916.499	2708.369
3907.400	2717.456
3898.130	2726.298
3888.705	2734.916
3879.143	2743.327
3869.461	2751.551
3859.678	2759.606
3849.810	2767.513
3839.875	2775.291
3829.892	2782.958
3819.876	2790.533
3809.846	2798.036
3799.820	2805.485
3789.814	2812.900
3779.847	2820.301
3769.936	2827.705
3760.098	2835.133
3750.352	2842.603
3740.714	2850.134
3731.203	2857.746
3721.834	2865.457
3712.612	2873.263
3703.519	2881.136
3694.541	2889.046
3685.661	2896.963
3676.864	2904.857
3668.132	2912.697
3659.451	2920.455
3650.804	2928.099
3642.176	2935.599
3633.549	2942.927
3624.909	2950.051
3616.239	2956.942
3607.523	2963.570
3598.746	2969.904
3589.890	2975.915
3580.941	2981.573
3571.882	2986.848
3562.697	2991.709
3553.370	2996.128
3543.891	3000.096
3534.250	3003.628
3524.442	3006.737
3514.459	3009.438
3504.295	3011.746
3493.941	3013.675
3483.392	3015.239
3472.640	3016.453
3461.678	3017.332
