X	Y
836.000	1281.000
837.187	1279.986
838.505	1279.239
839.949	1278.725
841.514	1278.411
843.195	1278.263
844.988	1278.246
846.887	1278.328
848.887	1278.474
850.984	1278.651
853.173	1278.825
855.447	1278.962
857.804	1279.029
860.236	1278.991
862.741	1278.824
865.312	1278.530
867.945	1278.115
870.635	1277.587
873.378	1276.952
876.167	1276.217
879.000	1275.388
881.869	1274.473
884.771	1273.479
887.702	1272.411
890.655	1271.278
893.626	1270.086
896.611	1268.841
899.604	1267.550
902.600	1266.221
905.595	1264.860
908.584	1263.474
911.562	1262.070
914.524	1260.654
917.465	1259.233
920.380	1257.815
923.266	1256.404
926.122	1255.006
928.948	1253.623
931.743	1252.258
934.508	1250.915
937.242	1249.598
939.946	1248.309
942.618	1247.052
945.260	1245.830
947.870	1244.647
950.448	1243.507
952.995	1242.411
955.511	1241.364
957.995	1240.370
960.446	1239.430
962.866	1238.550
965.253	1237.731
967.607	1236.978
969.929	1236.294
972.219	1235.682
974.477	1235.142
976.706	1234.669
978.910	1234.261
981.090	1233.914
983.250	1233.624
985.392	1233.387
987.519	1233.200
989.634	1233.059
991.739	1232.960
993.837	1232.900
995.931	1232.875
998.024	1232.881
1000.118	1232.915
1002.216	1232.973
1004.320	1233.051
1006.427	1233.151
1008.530	1233.274
1010.620	1233.424
1012.692	1233.604
1014.736	1233.817
1016.745	1234.066
1018.713	1234.355
1020.631	1234.686
1022.491	1235.063
1024.287	1235.488
1026.012	1235.965
1027.656	1236.497
1029.213	1237.086
1030.677	1237.735
1032.046	1238.441
1033.318	1239.201
1034.492	1240.012
1035.567	1240.870
1036.540	1241.773
1037.411	1242.718
1038.178	1243.701
1038.840	1244.720
1039.395	1245.771
1039.841	1246.852
1040.174	1247.959
1040.393	1249.089
1040.494	1250.239
1040.475	1251.407
1040.332	1252.589
1040.063	1253.782
1039.665	1254.982
1039.142	1256.174
1038.499	1257.342
1037.741	1258.467
1036.873	1259.532
1035.900	1260.519
1034.827	1261.409
1033.659	1262.186
1032.403	1262.831
1031.062	1263.330
1029.657	1263.703
1028.210	1263.989
1026.747	1264.230
1025.293	1264.466
1023.871	1264.738
1022.506	1265.086
1021.224	1265.552
1020.048	1266.175
1019.004	1266.996
1018.109	1268.045
1017.355	1269.308
1016.725	1270.759
1016.205	1272.373
1015.779	1274.122
1015.431	1275.983
1015.145	1277.929
1014.907	1279.935
1014.700	1281.975
1014.509	1284.023
1014.318	1286.054
1014.112	1288.042
1013.876	1289.962
1013.599	1291.802
1013.277	1293.566
1012.906	1295.255
1012.483	1296.871
1012.002	1298.419
1011.459	1299.900
1010.851	1301.317
1010.173	1302.673
1009.421	1303.970
1008.591	1305.212
1007.679	1306.400
1006.686	1307.543
1005.623	1308.656
1004.500	1309.757
1003.329	1310.860
1002.119	1311.983
1000.883	1313.141
999.630	1314.352
998.371	1315.630
997.118	1316.994
995.882	1318.459
994.672	1320.041
993.501	1321.756
992.370	1323.602
991.274	1325.556
990.207	1327.593
989.163	1329.688
988.136	1331.817
987.119	1333.955
986.105	1336.077
985.090	1338.159
984.066	1340.175
983.027	1342.102
981.967	1343.914
980.880	1345.587
979.759	1347.096
978.599	1348.416
977.393	1349.525
976.140	1350.421
974.843	1351.129
973.505	1351.675
972.130	1352.083
970.721	1352.378
969.281	1352.587
967.815	1352.734
966.325	1352.844
964.815	1352.943
963.289	1353.055
961.745	1353.188
960.181	1353.330
958.592	1353.471
956.976	1353.598
955.329	1353.699
953.646	1353.763
951.924	1353.778
950.160	1353.732
948.350	1353.613
946.489	1353.409
944.575	1353.109
942.604	1352.701
940.577	1352.189
938.500	1351.583
936.377	1350.892
934.211	1350.127
932.009	1349.298
929.774	1348.415
927.510	1347.488
925.223	1346.528
922.917	1345.545
920.596	1344.548
918.265	1343.548
915.928	1342.556
913.590	1341.581
911.256	1340.633
908.930	1339.723
906.616	1338.860
904.317	1338.051
902.035	1337.288
899.768	1336.563
897.517	1335.868
895.282	1335.195
893.061	1334.535
890.855	1333.880
888.665	1333.221
886.488	1332.550
884.326	1331.859
882.178	1331.140
880.044	1330.384
877.924	1329.583
875.817	1328.728
873.724	1327.812
871.643	1326.825
869.576	1325.766
867.526	1324.645
865.494	1323.478
863.484	1322.278
861.499	1321.059
859.542	1319.834
857.614	1318.617
855.720	1317.423
853.862	1316.266
852.042	1315.158
850.265	1314.114
848.531	1313.148
846.845	1312.274
845.209	1311.505
843.626	1310.856
842.100	1310.322
840.641	1309.863
839.257	1309.436
837.957	1308.997
836.752	1308.503
835.648	1307.908
834.657	1307.170
833.786	1306.245
833.046	1305.088
832.443	1303.669
831.979	1302.013
831.655	1300.165
831.469	1298.171
831.422	1296.074
831.513	1293.921
831.742	1291.755
832.109	1289.620
832.614	1287.563
833.255	1285.628
834.034	1283.859
834.949	1282.302
836.000	1281.000
