X	Y
847.000	1313.000
848.394	1312.147
849.875	1311.446
851.440	1310.886
853.089	1310.456
854.818	1310.145
856.625	1309.943
858.510	1309.839
860.468	1309.823
862.499	1309.883
864.600	1310.009
866.769	1310.190
869.005	1310.416
871.304	1310.676
873.666	1310.959
876.086	1311.256
878.559	1311.566
881.076	1311.889
883.629	1312.227
886.209	1312.583
888.808	1312.957
891.418	1313.351
894.030	1313.766
896.636	1314.205
899.228	1314.668
901.797	1315.157
904.334	1315.674
906.833	1316.221
909.283	1316.797
911.677	1317.407
914.007	1318.050
916.264	1318.728
918.439	1319.443
920.525	1320.197
922.517	1320.990
924.421	1321.824
926.241	1322.699
927.982	1323.617
929.651	1324.578
931.253	1325.584
932.792	1326.635
934.276	1327.731
935.708	1328.875
937.094	1330.067
938.440	1331.307
939.752	1332.597
941.034	1333.938
942.292	1335.330
943.528	1336.772
944.738	1338.258
945.917	1339.781
947.060	1341.335
948.160	1342.913
949.215	1344.508
950.217	1346.113
951.163	1347.722
952.046	1349.328
952.862	1350.925
953.606	1352.506
954.273	1354.063
954.856	1355.591
955.353	1357.084
955.767	1358.543
956.105	1359.975
956.374	1361.387
956.583	1362.784
956.740	1364.174
956.851	1365.562
956.925	1366.955
956.970	1368.360
956.992	1369.783
957.001	1371.230
956.998	1372.706
956.979	1374.212
956.934	1375.747
956.855	1377.311
956.735	1378.906
956.565	1380.529
956.338	1382.182
956.044	1383.865
955.675	1385.576
955.225	1387.317
954.684	1389.087
954.044	1390.886
953.299	1392.713
952.456	1394.565
951.523	1396.438
950.509	1398.326
949.423	1400.225
948.274	1402.131
947.072	1404.040
945.825	1405.946
944.542	1407.845
943.233	1409.732
941.906	1411.604
940.570	1413.455
939.235	1415.281
937.909	1417.078
936.602	1418.841
935.323	1420.565
934.078	1422.246
932.865	1423.881
931.672	1425.468
930.490	1427.003
929.308	1428.486
928.115	1429.912
926.901	1431.281
925.656	1432.589
924.369	1433.834
923.030	1435.013
921.628	1436.125
920.154	1437.166
918.596	1438.135
916.944	1439.028
915.192	1439.845
913.348	1440.588
911.424	1441.260
909.433	1441.865
907.386	1442.405
905.295	1442.884
903.171	1443.306
901.027	1443.672
898.875	1443.988
896.727	1444.255
894.593	1444.478
892.487	1444.659
890.420	1444.802
888.405	1444.910
886.452	1444.986
884.573	1445.033
882.770	1445.040
881.043	1444.992
879.390	1444.874
877.808	1444.671
876.298	1444.368
874.857	1443.949
873.484	1443.398
872.178	1442.701
870.937	1441.843
869.760	1440.808
868.645	1439.580
867.591	1438.156
866.593	1436.545
865.647	1434.760
864.751	1432.814
863.901	1430.718
863.092	1428.485
862.321	1426.128
861.585	1423.659
860.880	1421.089
860.201	1418.433
859.547	1415.700
858.912	1412.905
858.293	1410.060
857.686	1407.176
857.088	1404.266
856.495	1401.342
855.904	1398.418
855.310	1395.504
854.711	1392.614
854.104	1389.755
853.489	1386.930
852.868	1384.143
852.240	1381.398
851.607	1378.697
850.968	1376.044
850.324	1373.441
849.676	1370.893
849.023	1368.403
848.367	1365.973
847.708	1363.607
847.046	1361.309
846.382	1359.081
845.716	1356.927
845.049	1354.850
844.380	1352.853
843.712	1350.940
843.043	1349.114
842.376	1347.376
841.719	1345.716
841.083	1344.123
840.478	1342.584
839.915	1341.085
839.404	1339.615
838.955	1338.162
838.579	1336.712
838.286	1335.253
838.088	1333.773
837.993	1332.259
838.013	1330.698
838.155	1329.088
838.416	1327.442
838.794	1325.779
839.287	1324.117
839.890	1322.474
840.603	1320.867
841.421	1319.314
842.342	1317.835
843.363	1316.446
844.482	1315.165
845.695	1314.010
847.000	1313.000
