X	Y
1830.000	3732.000
1830.714	3730.647
1831.594	3729.293
1832.631	3727.935
1833.820	3726.572
1835.151	3725.204
1836.619	3723.830
1838.215	3722.449
1839.932	3721.060
1841.764	3719.662
1843.702	3718.254
1845.739	3716.834
1847.868	3715.403
1850.081	3713.959
1852.371	3712.502
1854.732	3711.029
1857.154	3709.541
1859.632	3708.036
1862.158	3706.514
1864.723	3704.973
1867.322	3703.412
1869.947	3701.831
1872.590	3700.229
1875.243	3698.604
1877.901	3696.956
1880.554	3695.284
1883.197	3693.587
1885.829	3691.865
1888.450	3690.119
1891.062	3688.351
1893.664	3686.560
1896.260	3684.748
1898.848	3682.916
1901.431	3681.065
1904.009	3679.195
1906.583	3677.307
1909.155	3675.402
1911.725	3673.482
1914.294	3671.546
1916.863	3669.596
1919.434	3667.633
1922.006	3665.657
1924.582	3663.670
1927.161	3661.671
1929.746	3659.663
1932.337	3657.646
1934.934	3655.621
1937.540	3653.588
1940.154	3651.549
1942.779	3649.504
1945.414	3647.455
1948.062	3645.402
1950.722	3643.346
1953.396	3641.287
1956.085	3639.228
1958.789	3637.168
1961.511	3635.108
1964.250	3633.050
1967.007	3630.994
1969.785	3628.941
1972.582	3626.891
1975.398	3624.842
1978.234	3622.794
1981.090	3620.746
1983.965	3618.698
1986.859	3616.649
1989.773	3614.597
1992.706	3612.544
1995.659	3610.487
1998.630	3608.426
2001.621	3606.361
2004.631	3604.290
2007.660	3602.213
2010.708	3600.129
2013.775	3598.038
2016.861	3595.939
2019.966	3593.831
2023.090	3591.713
2026.233	3589.585
2029.394	3587.447
2032.574	3585.296
2035.773	3583.133
2038.990	3580.957
2042.226	3578.767
2045.481	3576.563
2048.754	3574.344
2052.045	3572.108
2055.355	3569.856
2058.684	3567.587
2062.030	3565.300
2065.395	3562.994
2068.778	3560.669
2072.179	3558.324
2075.598	3555.958
2079.036	3553.570
2082.491	3551.160
2085.965	3548.727
2089.456	3546.271
2092.965	3543.792
2096.490	3541.292
2100.032	3538.773
2103.590	3536.236
2107.162	3533.683
2110.749	3531.116
2114.349	3528.536
2117.962	3525.945
2121.588	3523.345
2125.225	3520.737
2128.874	3518.123
2132.533	3515.504
2136.202	3512.883
2139.880	3510.260
2143.566	3507.639
2147.261	3505.019
2150.963	3502.404
2154.671	3499.793
2158.386	3497.191
2162.105	3494.597
2165.830	3492.013
2169.559	3489.442
2173.291	3486.885
2177.026	3484.343
2180.763	3481.818
2184.502	3479.312
2188.241	3476.827
2191.981	3474.363
2195.721	3471.924
2199.459	3469.510
2203.196	3467.123
2206.931	3464.765
2210.663	3462.437
2214.391	3460.142
2218.115	3457.880
2221.834	3455.654
2225.547	3453.464
2229.255	3451.314
2232.956	3449.204
2236.649	3447.135
2240.335	3445.111
2244.012	3443.132
2247.679	3441.200
2251.337	3439.317
2254.984	3437.483
2258.619	3435.699
2262.241	3433.964
2265.850	3432.277
2269.443	3430.639
2273.021	3429.050
2276.581	3427.508
2280.124	3426.015
2283.647	3424.569
2287.150	3423.169
2290.632	3421.818
2294.092	3420.512
2297.528	3419.253
2300.940	3418.041
2304.327	3416.874
2307.687	3415.753
2311.019	3414.677
2314.323	3413.646
2317.598	3412.660
2320.841	3411.719
2324.053	3410.822
2327.232	3409.969
2330.378	3409.159
2333.488	3408.393
2336.562	3407.671
2339.600	3406.991
2342.599	3406.354
2345.560	3405.759
2348.480	3405.207
2351.359	3404.696
2354.196	3404.227
2356.989	3403.800
2359.738	3403.413
2362.442	3403.067
2365.099	3402.762
2367.712	3402.496
2370.282	3402.268
2372.812	3402.077
2375.305	3401.922
2377.762	3401.802
2380.186	3401.714
2382.579	3401.658
2384.944	3401.634
2387.283	3401.638
2389.598	3401.670
2391.892	3401.730
2394.167	3401.815
2396.425	3401.924
2398.669	3402.057
2400.901	3402.211
2403.124	3402.386
2405.339	3402.580
2407.549	3402.792
2409.757	3403.021
2411.965	3403.265
2414.175	3403.524
2416.390	3403.796
2418.611	3404.079
2420.840	3404.374
2423.074	3404.681
2425.309	3405.002
2427.544	3405.339
2429.774	3405.692
2431.997	3406.063
2434.210	3406.454
2436.410	3406.866
2438.594	3407.300
2440.760	3407.758
2442.903	3408.240
2445.021	3408.749
2447.111	3409.286
2449.171	3409.852
2451.196	3410.448
2453.185	3411.076
2455.134	3411.738
2457.040	3412.434
2458.901	3413.167
2460.712	3413.936
2462.472	3414.745
2464.177	3415.593
2465.822	3416.482
2467.396	3417.411
2468.894	3418.378
2470.307	3419.384
2471.626	3420.428
2472.845	3421.510
2473.955	3422.628
2474.948	3423.783
2475.815	3424.973
2476.550	3426.199
2477.144	3427.459
2477.588	3428.754
2477.876	3430.081
2477.999	3431.442
2477.950	3432.835
2477.731	3434.260
2477.354	3435.714
2476.830	3437.197
2476.170	3438.706
2475.385	3440.241
2474.487	3441.800
2473.486	3443.382
2472.394	3444.985
2471.222	3446.607
2469.980	3448.247
2468.681	3449.905
2467.335	3451.577
2465.954	3453.263
2464.548	3454.962
2463.129	3456.671
2461.708	3458.390
2460.296	3460.117
2458.904	3461.850
2457.544	3463.589
2456.222	3465.332
2454.939	3467.081
2453.694	3468.837
2452.489	3470.602
2451.322	3472.377
2450.194	3474.164
2449.105	3475.964
2448.055	3477.778
2447.043	3479.607
2446.071	3481.454
2445.137	3483.318
2444.241	3485.203
2443.385	3487.109
2442.567	3489.038
2441.789	3490.990
2441.048	3492.969
2440.347	3494.973
2439.684	3497.006
2439.060	3499.069
2438.475	3501.162
2437.929	3503.288
2437.420	3505.446
2436.947	3507.635
2436.505	3509.853
2436.091	3512.096
2435.702	3514.362
2435.335	3516.649
2434.986	3518.954
2434.653	3521.275
2434.330	3523.609
2434.017	3525.954
2433.708	3528.307
2433.400	3530.665
2433.091	3533.027
2432.777	3535.389
2432.455	3537.750
2432.121	3540.106
2431.771	3542.456
2431.404	3544.796
2431.015	3547.125
2430.600	3549.439
2430.158	3551.736
2429.683	3554.014
2429.174	3556.271
2428.627	3558.503
2428.042	3560.711
2427.425	3562.896
2426.777	3565.061
2426.104	3567.206
2425.408	3569.333
2424.694	3571.445
2423.964	3573.541
2423.223	3575.624
2422.474	3577.696
2421.721	3579.757
2420.967	3581.811
2420.217	3583.856
2419.473	3585.897
2418.739	3587.934
2418.020	3589.969
2417.318	3592.003
2416.638	3594.037
2415.982	3596.075
2415.356	3598.116
2414.761	3600.162
2414.202	3602.216
2413.683	3604.278
2413.202	3606.349
2412.755	3608.429
2412.337	3610.516
2411.945	3612.611
2411.575	3614.712
2411.221	3616.820
2410.880	3618.933
2410.548	3621.051
2410.219	3623.174
2409.891	3625.301
2409.558	3627.431
2409.217	3629.565
2408.863	3631.701
2408.492	3633.838
2408.099	3635.978
2407.681	3638.118
2407.233	3640.258
2406.751	3642.398
2406.230	3644.537
2405.667	3646.675
