X	Y
1831.000	3795.000
1832.232	3793.903
1833.646	3792.958
1835.236	3792.154
1836.991	3791.481
1838.904	3790.929
1840.966	3790.487
1843.168	3790.145
1845.502	3789.891
1847.959	3789.717
1850.531	3789.611
1853.208	3789.562
1855.983	3789.561
1858.847	3789.596
1861.791	3789.658
1864.806	3789.736
1867.885	3789.819
1871.018	3789.897
1874.197	3789.960
1877.413	3789.997
1880.659	3789.999
1883.929	3789.964
1887.219	3789.897
1890.525	3789.799
1893.844	3789.675
1897.172	3789.526
1900.504	3789.356
1903.838	3789.168
1907.170	3788.964
1910.495	3788.748
1913.810	3788.522
1917.110	3788.290
1920.393	3788.054
1923.655	3787.817
1926.891	3787.582
1930.097	3787.353
1933.271	3787.131
1936.407	3786.920
1939.504	3786.724
1942.555	3786.544
1945.558	3786.384
1948.510	3786.247
1951.405	3786.135
1954.240	3786.052
1957.012	3786.000
1959.719	3785.982
1962.365	3785.999
1964.956	3786.050
1967.500	3786.136
1970.003	3786.256
1972.471	3786.411
1974.912	3786.601
1977.331	3786.826
1979.735	3787.086
1982.131	3787.380
1984.526	3787.710
1986.925	3788.075
1989.336	3788.475
1991.764	3788.910
1994.218	3789.380
1996.702	3789.886
1999.224	3790.427
2001.790	3791.004
2004.407	3791.616
2007.081	3792.264
2009.815	3792.947
2012.608	3793.662
2015.457	3794.408
2018.360	3795.183
2021.316	3795.984
2024.321	3796.809
2027.375	3797.656
2030.475	3798.524
2033.618	3799.409
2036.804	3800.311
2040.029	3801.226
2043.292	3802.154
2046.591	3803.090
2049.924	3804.034
2053.288	3804.984
2056.681	3805.937
2060.103	3806.892
2063.549	3807.845
2067.019	3808.795
2070.510	3809.741
2074.021	3810.679
2077.548	3811.608
2081.091	3812.526
2084.646	3813.430
2088.213	3814.319
2091.789	3815.190
2095.371	3816.043
2098.958	3816.877
2102.547	3817.695
2106.137	3818.497
2109.724	3819.284
2113.306	3820.058
2116.881	3820.819
2120.448	3821.569
2124.003	3822.308
2127.544	3823.039
2131.069	3823.761
2134.576	3824.476
2138.062	3825.186
2141.526	3825.890
2144.964	3826.591
2148.375	3827.290
2151.757	3827.986
2155.106	3828.683
2158.421	3829.380
2161.700	3830.078
2164.940	3830.780
2168.139	3831.486
2171.294	3832.196
2174.404	3832.913
2177.466	3833.637
2180.478	3834.369
2183.437	3835.111
2186.342	3835.863
2189.195	3836.628
2191.997	3837.406
2194.750	3838.199
2197.456	3839.008
2200.116	3839.836
2202.733	3840.683
2205.307	3841.551
2207.840	3842.441
2210.335	3843.355
2212.792	3844.295
2215.215	3845.261
2217.603	3846.257
2219.960	3847.281
2222.286	3848.338
2224.583	3849.427
2226.854	3850.550
2229.100	3851.710
2231.323	3852.906
2233.523	3854.142
2235.703	3855.417
2237.864	3856.734
2240.001	3858.093
2242.113	3859.494
2244.196	3860.937
2246.248	3862.424
2248.264	3863.953
2250.243	3865.526
2252.181	3867.143
2254.076	3868.805
2255.924	3870.511
2257.722	3872.262
2259.468	3874.059
2261.158	3875.902
2262.790	3877.791
2264.360	3879.726
2265.865	3881.709
2267.304	3883.739
2268.671	3885.816
2269.966	3887.941
2271.184	3890.115
2272.325	3892.331
2273.387	3894.585
2274.369	3896.872
2275.270	3899.187
2276.089	3901.522
2276.825	3903.875
2277.476	3906.239
2278.042	3908.609
2278.521	3910.980
2278.913	3913.346
2279.215	3915.702
2279.427	3918.042
2279.549	3920.362
2279.578	3922.655
2279.513	3924.917
2279.354	3927.143
2279.100	3929.327
2278.748	3931.463
2278.300	3933.552
2277.756	3935.594
2277.118	3937.592
2276.387	3939.548
2275.562	3941.462
2274.646	3943.336
2273.640	3945.173
2272.544	3946.974
2271.359	3948.741
2270.086	3950.475
2268.727	3952.178
2267.282	3953.852
2265.753	3955.498
2264.140	3957.119
2262.443	3958.715
2260.666	3960.289
2258.809	3961.843
2256.881	3963.379
2254.889	3964.901
2252.843	3966.413
2250.749	3967.917
2248.615	3969.418
2246.451	3970.918
2244.264	3972.420
2242.062	3973.928
2239.853	3975.445
2237.645	3976.974
2235.447	3978.520
2233.265	3980.084
2231.110	3981.670
2228.987	3983.282
2226.906	3984.922
2224.875	3986.595
2222.901	3988.303
2220.993	3990.050
2219.159	3991.839
2217.405	3993.671
2215.724	3995.543
2214.106	3997.446
2212.542	3999.373
2211.022	4001.316
2209.536	4003.270
2208.073	4005.225
2206.624	4007.175
2205.179	4009.112
2203.728	4011.029
2202.261	4012.919
2200.768	4014.774
2199.239	4016.587
2197.664	4018.351
2196.033	4020.057
2194.336	4021.700
2192.564	4023.271
2190.706	4024.763
2188.753	4026.169
2186.698	4027.484
2184.547	4028.709
2182.307	4029.849
2179.986	4030.905
2177.591	4031.881
2175.129	4032.780
2172.608	4033.605
2170.035	4034.358
2167.417	4035.044
2164.762	4035.665
2162.078	4036.224
2159.370	4036.723
2156.648	4037.167
2153.918	4037.558
2151.188	4037.900
2148.464	4038.194
2145.754	4038.445
2143.067	4038.655
2140.408	4038.827
2137.785	4038.965
2135.206	4039.071
2132.670	4039.147
2130.173	4039.197
2127.712	4039.221
2125.284	4039.223
2122.883	4039.203
2120.508	4039.165
2118.153	4039.109
2115.815	4039.039
2113.490	4038.956
2111.175	4038.863
2108.866	4038.761
2106.559	4038.652
2104.250	4038.539
2101.937	4038.424
2099.614	4038.309
2097.278	4038.195
2094.925	4038.085
2092.552	4037.981
2090.157	4037.885
2087.741	4037.798
2085.307	4037.722
2082.857	4037.657
2080.394	4037.606
2077.920	4037.569
2075.438	4037.548
2072.949	4037.544
2070.457	4037.559
2067.963	4037.593
2065.471	4037.649
2062.982	4037.727
2060.499	4037.829
2058.024	4037.957
2055.560	4038.110
2053.110	4038.292
2050.674	4038.503
2048.257	4038.744
2045.860	4039.017
2043.487	4039.324
2041.144	4039.670
2038.836	4040.061
2036.572	4040.502
2034.357	4041.000
2032.198	4041.560
2030.101	4042.187
2028.074	4042.887
2026.122	4043.667
2024.253	4044.531
2022.473	4045.486
2020.788	4046.537
2019.206	4047.690
2017.732	4048.950
2016.374	4050.324
2015.137	4051.816
2014.027	4053.430
2013.031	4055.153
2012.135	4056.965
2011.323	4058.846
2010.577	4060.779
2009.882	4062.742
2009.223	4064.717
2008.582	4066.685
2007.945	4068.626
2007.295	4070.522
2006.616	4072.353
2005.891	4074.099
2005.107	4075.741
2004.245	4077.261
2003.290	4078.638
2002.227	4079.856
2001.054	4080.912
1999.776	4081.815
1998.395	4082.573
1996.918	4083.192
1995.349	4083.682
1993.691	4084.050
1991.950	4084.304
1990.129	4084.451
1988.234	4084.500
1986.268	4084.458
1984.237	4084.334
1982.145	4084.135
1979.995	4083.868
1977.791	4083.539
1975.535	4083.146
1973.228	4082.688
1970.871	4082.166
1968.466	4081.579
1966.014	4080.926
1963.516	4080.207
1960.974	4079.421
1958.389	4078.568
1955.762	4077.648
1953.096	4076.659
1950.391	4075.601
1947.649	4074.473
1944.871	4073.276
1942.058	4072.009
1939.212	4070.670
1936.335	4069.260
1933.427	4067.779
1930.490	4066.224
1927.525	4064.597
1924.535	4062.896
1921.519	4061.121
1918.483	4059.273
1915.430	4057.354
1912.367	4055.366
1909.299	4053.313
1906.232	4051.196
1903.172	4049.017
1900.123	4046.779
1897.092	4044.484
1894.083	4042.135
1891.103	4039.735
1888.157	4037.284
1885.251	4034.786
1882.390	4032.243
1879.579	4029.658
1876.825	4027.032
1874.132	4024.369
1871.507	4021.670
1868.954	4018.937
1866.480	4016.174
1864.090	4013.383
1861.789	4010.565
1859.583	4007.723
1857.478	4004.860
1855.479	4001.978
1853.591	3999.080
1851.821	3996.167
1850.173	3993.241
1848.653	3990.307
1847.263	3987.364
1845.997	3984.414
1844.845	3981.456
1843.802	3978.491
1842.859	3975.520
1842.008	3972.541
1841.242	3969.557
1840.554	3966.566
1839.935	3963.569
1839.379	3960.566
1838.877	3957.558
1838.422	3954.544
1838.006	3951.526
1837.622	3948.503
1837.261	3945.475
1836.918	3942.442
1836.583	3939.406
1836.249	3936.366
1835.909	3933.322
1835.554	3930.274
1835.178	3927.223
1834.773	3924.170
1834.331	3921.113
1833.844	3918.054
1833.311	3914.994
1832.735	3911.936
1832.124	3908.883
1831.484	3905.837
1830.821	3902.804
1830.140	3899.785
1829.449	3896.783
1828.754	3893.803
1828.059	3890.847
1827.373	3887.918
1826.701	3885.021
1826.049	3882.156
1825.424	3879.329
1824.831	3876.542
1824.276	3873.799
1823.767	3871.102
1823.309	3868.455
1822.908	3865.861
1822.571	3863.323
1822.303	3860.845
1822.112	3858.429
1822.002	3856.079
1821.979	3853.797
1822.035	3851.577
1822.161	3849.413
1822.348	3847.298
1822.587	3845.225
1822.869	3843.187
1823.183	3841.178
1823.522	3839.190
1823.875	3837.218
1824.234	3835.253
1824.589	3833.289
1824.930	3831.320
1825.250	3829.338
1825.537	3827.337
1825.784	3825.310
1825.980	3823.250
1826.120	3821.153
1826.214	3819.027
1826.280	3816.886
1826.333	3814.744
1826.392	3812.615
1826.474	3810.511
1826.594	3808.447
1826.770	3806.436
1827.020	3804.493
1827.359	3802.629
1827.805	3800.861
1828.376	3799.199
1829.087	3797.660
1829.956	3796.256
1831.000	3795.000
