X	Y
948.000	408.000
949.430	405.129
951.138	402.180
953.112	399.155
955.336	396.060
957.796	392.897
960.478	389.671
963.368	386.386
966.451	383.046
969.712	379.654
973.138	376.214
976.715	372.731
980.427	369.209
984.260	365.650
988.200	362.060
992.234	358.441
996.345	354.799
1000.521	351.137
1004.746	347.458
1009.007	343.768
1013.289	340.069
1017.577	336.365
1021.859	332.661
1026.133	328.957
1030.396	325.254
1034.650	321.552
1038.895	317.851
1043.129	314.153
1047.352	310.456
1051.565	306.762
1055.768	303.072
1059.959	299.384
1064.140	295.701
1068.309	292.022
1072.466	288.347
1076.612	284.678
1080.746	281.014
1084.867	277.356
1088.977	273.704
1093.073	270.059
1097.157	266.421
1101.228	262.791
1105.285	259.168
1109.330	255.553
1113.360	251.948
1117.377	248.351
1121.379	244.763
1125.368	241.185
1129.345	237.614
1133.310	234.050
1137.266	230.489
1141.213	226.932
1145.153	223.376
1149.087	219.820
1153.017	216.261
1156.943	212.700
1160.868	209.133
1164.792	205.560
1168.716	201.978
1172.642	198.387
1176.572	194.785
1180.507	191.169
1184.447	187.540
1188.395	183.894
1192.351	180.230
1196.317	176.548
1200.295	172.844
1204.284	169.119
1208.288	165.369
1212.307	161.594
1216.342	157.792
1220.393	153.967
1224.460	150.125
1228.540	146.275
1232.633	142.422
1236.736	138.576
1240.850	134.741
1244.973	130.927
1249.103	127.140
1253.240	123.388
1257.381	119.677
1261.526	116.016
1265.673	112.410
1269.822	108.868
1273.971	105.397
1278.118	102.003
1282.263	98.695
1286.404	95.480
1290.540	92.364
1294.670	89.355
1298.792	86.460
1302.905	83.687
1307.008	81.042
1311.100	78.534
1315.180	76.167
1319.250	73.944
1323.315	71.862
1327.379	69.919
1331.447	68.113
1335.522	66.442
1339.609	64.903
1343.712	63.495
1347.835	62.215
1351.983	61.061
1356.161	60.032
1360.371	59.125
1364.619	58.338
1368.909	57.668
1373.245	57.115
1377.632	56.675
1382.073	56.346
1386.573	56.128
1391.136	56.016
1395.767	56.010
1400.448	56.107
1405.136	56.308
1409.787	56.611
1414.353	57.016
1418.790	57.522
1423.051	58.128
1427.092	58.834
1430.866	59.639
1434.329	60.543
1437.434	61.545
1440.136	62.644
1442.389	63.839
1444.148	65.130
1445.366	66.517
1446.000	67.998
1446.021	69.574
1445.483	71.249
1444.458	73.025
1443.016	74.908
1441.231	76.902
1439.174	79.010
1436.916	81.238
1434.529	83.588
1432.086	86.066
1429.659	88.676
1427.318	91.421
1425.136	94.306
1423.183	97.335
1421.489	100.503
1420.033	103.797
1418.792	107.201
1417.745	110.701
1416.867	114.281
1416.135	117.928
1415.528	121.627
1415.023	125.362
1414.595	129.120
1414.223	132.884
1413.883	136.642
1413.553	140.377
1413.209	144.075
1412.830	147.722
1412.391	151.302
1411.871	154.801
1411.255	158.213
1410.548	161.549
1409.756	164.822
1408.885	168.044
1407.944	171.229
1406.937	174.390
1405.871	177.540
1404.754	180.692
1403.591	183.859
1402.390	187.055
1401.156	190.292
1399.897	193.583
1398.618	196.942
1397.328	200.382
1396.031	203.915
1394.733	207.550
1393.431	211.282
1392.120	215.099
1390.794	218.990
1389.448	222.943
1388.078	226.947
1386.677	230.992
1385.241	235.065
1383.765	239.157
1382.243	243.255
1380.671	247.348
1379.042	251.425
1377.353	255.476
1375.597	259.488
1373.770	263.451
1371.866	267.353
1369.880	271.184
1367.807	274.932
1365.643	278.585
1363.387	282.136
1361.057	285.584
1358.673	288.928
1356.252	292.168
1353.815	295.304
1351.380	298.336
1348.968	301.263
1346.596	304.087
1344.284	306.806
1342.052	309.420
1339.919	311.930
1337.903	314.334
1336.024	316.634
1334.301	318.829
1332.754	320.919
1331.399	322.903
1330.217	324.784
1329.142	326.564
1328.108	328.247
1327.048	329.836
1325.896	331.334
1324.584	332.744
1323.048	334.070
1321.219	335.315
1319.033	336.482
1316.466	337.576
1313.546	338.604
1310.305	339.574
1306.774	340.491
1302.986	341.364
1298.970	342.200
1294.760	343.005
1290.385	343.786
1285.879	344.551
1281.271	345.307
1276.594	346.061
1271.880	346.819
1267.159	347.590
1262.463	348.379
1257.824	349.195
1253.273	350.044
1248.842	350.934
1244.562	351.870
1240.459	352.861
1236.535	353.908
1232.778	355.012
1229.179	356.175
1225.728	357.398
1222.413	358.682
1219.226	360.028
1216.156	361.437
1213.193	362.910
1210.326	364.448
1207.546	366.053
1204.842	367.726
1202.205	369.468
1199.623	371.279
1197.088	373.162
1194.588	375.116
1192.117	377.137
1189.673	379.214
1187.250	381.337
1184.847	383.496
1182.458	385.679
1180.081	387.878
1177.712	390.081
1175.348	392.277
