X	Y
954.000	446.000
956.281	443.784
958.938	441.709
961.943	439.767
965.267	437.945
968.881	436.235
972.757	434.626
976.866	433.107
981.180	431.668
985.669	430.300
990.306	428.991
995.061	427.732
999.905	426.513
1004.813	425.322
1009.770	424.157
1014.781	423.017
1019.845	421.901
1024.967	420.812
1030.147	419.748
1035.388	418.709
1040.693	417.697
1046.063	416.711
1051.500	415.751
1057.007	414.819
1062.586	413.913
1068.239	413.034
1073.968	412.182
1079.776	411.358
1085.664	410.562
1091.634	409.794
1097.685	409.053
1103.804	408.339
1109.979	407.652
1116.197	406.990
1122.447	406.353
1128.715	405.740
1134.990	405.149
1141.258	404.581
1147.508	404.034
1153.727	403.508
1159.902	403.001
1166.022	402.513
1172.073	402.044
1178.043	401.591
1183.921	401.155
1189.693	400.735
1195.347	400.330
1200.870	399.939
1206.254	399.562
1211.495	399.204
1216.591	398.871
1221.543	398.567
1226.348	398.296
1231.004	398.065
1235.510	397.878
1239.866	397.739
1244.068	397.655
1248.117	397.629
1252.010	397.668
1255.745	397.775
1259.323	397.956
1262.742	398.217
1266.018	398.572
1269.169	399.038
1272.217	399.634
1275.180	400.376
1278.080	401.284
1280.936	402.373
1283.768	403.662
1286.596	405.169
1289.439	406.909
1292.303	408.875
1295.176	411.034
1298.046	413.351
1300.903	415.793
1303.735	418.325
1306.531	420.914
1309.279	423.525
1311.968	426.124
1314.587	428.677
1317.124	431.150
1319.565	433.511
1321.854	435.749
1323.908	437.866
1325.644	439.867
1326.978	441.753
1327.825	443.530
1328.102	445.200
1327.729	446.767
1326.707	448.249
1325.117	449.677
1323.045	451.081
1320.577	452.495
1317.800	453.949
1314.797	455.474
1311.656	457.104
1308.460	458.867
1305.254	460.775
1302.043	462.815
1298.827	464.975
1295.608	467.242
1292.388	469.604
1289.169	472.047
1285.953	474.559
1282.740	477.127
1279.533	479.739
1276.334	482.381
1273.144	485.041
1269.965	487.708
1266.785	490.372
1263.586	493.032
1260.352	495.684
1257.063	498.324
1253.702	500.949
1250.250	503.555
1246.690	506.140
1243.003	508.700
1239.171	511.231
1235.176	513.730
1231.000	516.193
1226.625	518.618
1222.034	521.001
1217.229	523.337
1212.238	525.624
1207.091	527.857
1201.817	530.033
1196.445	532.146
1191.006	534.193
1185.529	536.171
1180.042	538.075
1174.576	539.901
1169.160	541.644
1163.823	543.302
1158.595	544.870
1153.506	546.344
1148.584	547.720
1143.860	548.995
1139.362	550.163
1135.105	551.224
1131.060	552.187
1127.192	553.060
1123.467	553.853
1119.850	554.576
1116.306	555.236
1112.800	555.844
1109.299	556.409
1105.766	556.941
1102.167	557.448
1098.468	557.940
1094.657	558.427
1090.858	558.936
1087.244	559.492
1083.987	560.126
1081.262	560.865
1079.240	561.739
1078.095	562.774
1078.000	564.000
1079.046	565.431
1081.000	567.018
1083.545	568.699
1086.366	570.412
1089.148	572.094
1091.576	573.682
1093.333	575.115
1094.107	576.330
1093.740	577.297
1092.344	578.046
1090.058	578.610
1087.019	579.023
1083.368	579.320
1079.241	579.535
1074.780	579.701
1070.121	579.853
1065.403	580.024
1060.734	580.235
1056.134	580.467
1051.607	580.694
1047.161	580.891
1042.798	581.032
1038.526	581.093
1034.349	581.048
1030.273	580.872
1026.303	580.538
1022.444	580.023
1018.702	579.299
1015.082	578.343
1011.588	577.131
1008.215	575.669
1004.950	573.981
1001.780	572.090
998.692	570.019
995.676	567.792
992.717	565.432
989.803	562.963
986.923	560.408
984.063	557.790
981.211	555.133
978.355	552.460
975.501	549.776
972.669	547.076
969.878	544.353
967.149	541.600
964.501	538.811
961.954	535.978
959.529	533.095
957.244	530.155
955.120	527.152
953.178	524.078
951.436	520.928
949.903	517.705
948.571	514.427
947.431	511.115
946.472	507.791
945.685	504.473
945.059	501.183
944.586	497.942
944.255	494.768
944.057	491.683
943.981	488.708
944.017	485.842
944.148	483.066
944.361	480.358
944.641	477.696
944.973	475.059
945.343	472.426
945.735	469.774
946.136	467.083
946.555	464.348
947.037	461.592
947.632	458.840
948.389	456.116
949.355	453.445
950.579	450.853
952.112	448.363
954.000	446.000
