X	Y
741.000	391.000
741.697	389.526
742.461	388.005
743.292	386.440
744.188	384.835
745.147	383.190
746.170	381.509
747.255	379.794
748.401	378.048
749.606	376.274
750.871	374.472
752.193	372.647
753.572	370.801
755.007	368.935
756.497	367.053
758.040	365.158
759.635	363.250
761.283	361.334
762.981	359.411
764.728	357.485
766.524	355.556
768.367	353.629
770.256	351.705
772.191	349.787
774.170	347.877
776.192	345.977
778.257	344.084
780.363	342.200
782.510	340.323
784.697	338.453
786.923	336.588
789.188	334.729
791.489	332.875
793.827	331.024
796.200	329.178
798.608	327.334
801.050	325.493
803.525	323.653
806.032	321.815
808.571	319.977
811.140	318.139
813.738	316.300
816.365	314.460
819.020	312.618
821.702	310.773
824.410	308.925
827.143	307.073
829.900	305.217
832.681	303.356
835.485	301.489
838.311	299.616
841.157	297.737
844.024	295.849
846.910	293.954
849.814	292.050
852.736	290.137
855.674	288.213
858.628	286.280
861.598	284.336
864.582	282.382
867.582	280.419
870.595	278.446
873.623	276.465
876.664	274.475
879.719	272.477
882.787	270.471
885.867	268.458
888.960	266.438
892.065	264.412
895.181	262.379
898.309	260.340
901.448	258.295
904.597	256.246
907.756	254.192
910.926	252.133
914.105	250.070
917.293	248.003
920.490	245.933
923.696	243.860
926.910	241.785
930.132	239.707
933.362	237.627
936.599	235.546
939.842	233.463
943.092	231.380
946.349	229.296
949.611	227.212
952.879	225.129
956.152	223.046
959.429	220.964
962.712	218.884
965.998	216.805
969.288	214.728
972.582	212.654
975.879	210.582
979.178	208.514
982.481	206.450
985.785	204.389
989.091	202.333
992.399	200.282
995.709	198.236
999.019	196.197
1002.331	194.164
1005.644	192.139
1008.957	190.121
1012.271	188.111
1015.584	186.110
1018.898	184.119
1022.211	182.137
1025.523	180.165
1028.835	178.204
1032.146	176.254
1035.456	174.316
1038.764	172.391
1042.070	170.478
1045.374	168.579
1048.676	166.694
1051.976	164.823
1055.273	162.967
1058.567	161.126
1061.858	159.301
1065.146	157.493
1068.430	155.702
1071.710	153.929
1074.986	152.173
1078.258	150.436
1081.525	148.718
1084.788	147.020
1088.046	145.342
1091.298	143.684
1094.545	142.048
1097.787	140.433
1101.022	138.841
1104.252	137.271
1107.475	135.725
1110.691	134.202
1113.900	132.704
1117.100	131.230
1120.289	129.781
1123.465	128.357
1126.628	126.960
1129.776	125.589
1132.906	124.244
1136.018	122.927
1139.110	121.637
1142.180	120.374
1145.227	119.141
1148.249	117.936
1151.244	116.760
1154.211	115.613
1157.149	114.497
1160.055	113.411
1162.929	112.356
1165.768	111.332
1168.571	110.339
1171.337	109.379
1174.064	108.450
1176.750	107.555
1179.393	106.693
1181.993	105.865
1184.548	105.070
1187.055	104.311
1189.514	103.586
1191.922	102.896
1194.279	102.242
1196.583	101.624
1198.832	101.043
1201.024	100.499
1203.162	99.997
1205.248	99.542
1207.283	99.141
1209.270	98.797
1211.210	98.517
1213.106	98.307
1214.961	98.170
1216.775	98.114
1218.552	98.142
1220.292	98.262
1222.000	98.478
1223.675	98.795
1225.321	99.219
1226.940	99.755
1228.534	100.410
1230.105	101.187
1231.654	102.093
1233.185	103.134
1234.697	104.311
1236.189	105.619
1237.655	107.053
1239.092	108.607
1240.497	110.273
1241.866	112.046
1243.194	113.919
1244.479	115.887
1245.716	117.942
1246.902	120.079
1248.032	122.291
1249.104	124.572
1250.113	126.916
1251.055	129.316
1251.928	131.766
1252.726	134.260
1253.447	136.792
1254.086	139.355
1254.640	141.943
1255.105	144.550
1255.478	147.169
1255.754	149.795
1255.929	152.420
1256.001	155.039
1255.965	157.646
1255.825	160.237
1255.590	162.813
1255.268	165.373
1254.866	167.916
1254.394	170.443
1253.860	172.952
1253.272	175.444
1252.638	177.918
1251.967	180.373
1251.267	182.809
1250.546	185.226
1249.813	187.624
1249.077	190.001
1248.344	192.358
1247.625	194.693
1246.926	197.008
1246.257	199.301
1245.625	201.572
1245.040	203.820
1244.508	206.045
1244.040	208.247
1243.643	210.425
1243.324	212.579
1243.094	214.708
1242.960	216.813
1242.923	218.893
1242.979	220.951
1243.121	222.990
1243.342	225.011
1243.635	227.017
1243.995	229.011
1244.416	230.994
1244.889	232.969
1245.410	234.938
1245.971	236.903
1246.567	238.868
1247.191	240.833
1247.835	242.803
1248.495	244.777
1249.163	246.761
1249.833	248.754
1250.499	250.760
1251.154	252.782
1251.792	254.820
1252.405	256.879
1252.989	258.959
1253.537	261.063
1254.046	263.191
1254.517	265.341
1254.946	267.512
1255.333	269.703
1255.676	271.913
1255.974	274.141
1256.225	276.386
1256.429	278.647
1256.583	280.923
1256.687	283.212
1256.739	285.513
1256.737	287.827
1256.680	290.150
1256.567	292.483
1256.396	294.824
1256.166	297.173
1255.875	299.527
1255.523	301.887
1255.108	304.250
1254.627	306.616
1254.081	308.984
1253.467	311.353
1252.785	313.722
1252.033	316.089
1251.214	318.452
1250.330	320.811
1249.383	323.164
1248.375	325.509
1247.308	327.845
1246.185	330.170
1245.006	332.483
1243.775	334.782
1242.493	337.066
1241.162	339.332
1239.785	341.580
1238.363	343.808
1236.899	346.014
1235.394	348.198
1233.851	350.356
1232.272	352.488
1230.658	354.593
1229.013	356.669
1227.337	358.713
1225.633	360.725
1223.903	362.704
1222.149	364.647
1220.373	366.552
1218.577	368.420
1216.764	370.247
1214.935	372.033
1213.090	373.777
1211.230	375.480
1209.355	377.141
1207.463	378.762
1205.554	380.343
1203.629	381.884
1201.686	383.386
1199.725	384.849
1197.746	386.274
1195.749	387.661
1193.733	389.012
1191.697	390.325
1189.642	391.602
1187.567	392.843
1185.471	394.048
1183.355	395.219
1181.217	396.355
1179.058	397.457
1176.877	398.525
1174.673	399.561
1172.447	400.563
1170.198	401.534
1167.925	402.473
1165.629	403.380
1163.308	404.257
1160.963	405.104
1158.594	405.924
1156.200	406.717
1153.782	407.486
1151.340	408.233
1148.874	408.960
1146.384	409.669
1143.871	410.361
1141.334	411.040
1138.773	411.705
1136.190	412.361
1133.582	413.008
1130.952	413.648
1128.299	414.284
1125.622	414.917
1122.923	415.549
1120.201	416.183
1117.456	416.820
1114.689	417.462
1111.900	418.111
1109.088	418.769
1106.254	419.438
1103.397	420.120
1100.519	420.817
1097.619	421.530
1094.697	422.262
1091.754	423.015
1088.788	423.791
1085.802	424.591
1082.796	425.414
1079.772	426.258
1076.733	427.120
1073.681	427.999
1070.619	428.891
1067.548	429.795
1064.471	430.707
1061.390	431.626
1058.307	432.549
1055.226	433.474
1052.147	434.399
1049.073	435.320
1046.007	436.235
1042.951	437.143
1039.907	438.041
1036.877	438.925
1033.864	439.795
1030.870	440.647
1027.897	441.480
1024.948	442.290
1022.024	443.075
1019.128	443.834
1016.263	444.563
1013.430	445.260
1010.632	445.923
1007.871	446.549
1005.149	447.136
1002.469	447.681
999.833	448.183
997.244	448.639
994.702	449.045
992.211	449.402
989.765	449.711
987.362	449.974
984.997	450.193
982.667	450.370
980.368	450.509
978.096	450.611
975.848	450.678
973.619	450.713
971.406	450.718
969.205	450.695
967.011	450.647
964.823	450.576
962.634	450.484
960.442	450.374
958.243	450.247
956.033	450.107
953.809	449.954
951.565	449.793
949.300	449.624
947.008	449.450
944.686	449.274
942.330	449.098
939.936	448.923
937.504	448.752
935.034	448.583
932.530	448.415
929.991	448.249
927.421	448.083
924.820	447.917
922.191	447.751
919.536	447.582
916.856	447.412
914.154	447.240
911.430	447.064
908.687	446.884
905.927	446.699
903.150	446.509
900.360	446.314
897.558	446.112
894.746	445.903
891.925	445.686
889.097	445.461
886.264	445.227
883.429	444.984
880.592	444.730
877.755	444.465
874.921	444.189
872.090	443.901
869.266	443.600
866.449	443.286
863.642	442.957
860.845	442.615
858.059	442.260
855.282	441.896
852.515	441.524
849.757	441.147
847.007	440.766
844.265	440.384
841.530	440.003
838.801	439.625
836.079	439.253
833.363	438.888
830.652	438.533
827.945	438.190
825.243	437.861
822.544	437.549
819.848	437.255
817.155	436.982
814.464	436.732
811.774	436.507
809.085	436.309
806.397	436.141
803.708	436.005
801.019	435.902
798.329	435.836
795.637	435.807
792.943	435.820
790.246	435.875
787.546	435.974
784.843	436.120
782.142	436.306
779.449	436.525
776.773	436.767
774.121	437.025
771.499	437.289
768.914	437.551
766.375	437.803
763.887	438.035
761.459	438.241
759.097	438.410
756.808	438.535
754.601	438.608
752.481	438.618
750.456	438.559
748.534	438.421
746.721	438.196
745.025	437.876
743.452	437.452
742.011	436.915
740.707	436.257
739.549	435.469
738.543	434.544
737.688	433.483
736.974	432.299
736.391	431.004
735.929	429.612
735.578	428.135
735.328	426.587
735.168	424.980
735.088	423.328
735.078	421.644
735.129	419.940
735.229	418.229
735.369	416.525
735.539	414.841
735.728	413.189
735.926	411.582
736.124	410.033
736.320	408.543
736.520	407.103
736.729	405.706
736.950	404.345
737.190	403.011
737.453	401.698
737.745	400.398
738.070	399.102
738.434	397.803
738.840	396.494
739.295	395.167
739.804	393.814
740.370	392.427
741.000	391.000
