X	Y
729.000	436.000
730.107	434.791
731.300	433.636
732.575	432.532
733.929	431.477
735.359	430.466
736.863	429.497
738.438	428.567
740.080	427.672
741.787	426.810
743.555	425.977
745.383	425.171
747.267	424.387
749.203	423.624
751.190	422.878
753.224	422.145
755.303	421.424
757.423	420.710
759.581	420.000
761.775	419.292
764.002	418.582
766.258	417.868
768.542	417.145
770.849	416.412
773.180	415.668
775.533	414.913
777.908	414.148
780.305	413.373
782.722	412.589
785.161	411.796
787.620	410.995
790.098	410.187
792.596	409.371
795.113	408.548
797.648	407.720
800.201	406.886
802.772	406.047
805.360	405.203
807.964	404.355
810.584	403.503
813.220	402.648
815.872	401.791
818.538	400.931
821.218	400.070
823.912	399.208
826.619	398.345
829.340	397.483
832.072	396.620
834.817	395.759
837.573	394.899
840.341	394.041
843.119	393.185
845.907	392.333
848.705	391.483
851.512	390.639
854.327	389.799
857.149	388.967
859.978	388.142
862.813	387.326
865.653	386.521
868.497	385.727
871.345	384.945
874.196	384.177
877.048	383.423
879.901	382.686
882.755	381.965
885.608	381.263
888.459	380.580
891.309	379.918
894.155	379.277
896.998	378.659
899.836	378.066
902.669	377.497
905.496	376.955
908.316	376.440
911.128	375.954
913.932	375.498
916.727	375.072
919.511	374.679
922.284	374.319
925.046	373.993
927.795	373.703
930.531	373.449
933.253	373.234
935.960	373.057
938.651	372.921
941.328	372.825
943.990	372.767
946.641	372.749
949.280	372.767
951.911	372.822
954.533	372.913
957.149	373.038
959.760	373.197
962.368	373.389
964.974	373.613
967.579	373.869
970.185	374.154
972.793	374.469
975.405	374.812
978.023	375.183
980.647	375.581
983.279	376.004
985.921	376.453
988.573	376.925
991.239	377.420
993.918	377.938
996.613	378.477
999.324	379.036
1002.054	379.615
1004.804	380.213
1007.574	380.828
1010.368	381.460
1013.186	382.108
1016.029	382.772
1018.899	383.449
1021.796	384.140
1024.718	384.844
1027.664	385.560
1030.634	386.289
1033.625	387.029
1036.636	387.780
1039.667	388.541
1042.715	389.313
1045.781	390.094
1048.861	390.884
1051.956	391.682
1055.064	392.489
1058.184	393.303
1061.314	394.123
1064.453	394.951
1067.600	395.784
1070.754	396.622
1073.913	397.466
1077.077	398.314
1080.243	399.166
1083.411	400.021
1086.580	400.879
1089.748	401.740
1092.914	402.602
1096.076	403.466
1099.234	404.331
1102.386	405.196
1105.531	406.060
1108.668	406.925
1111.795	407.788
1114.911	408.649
1118.016	409.508
1121.107	410.365
1124.183	411.218
1127.244	412.068
1130.287	412.914
1133.314	413.757
1136.322	414.599
1139.311	415.441
1142.281	416.286
1145.232	417.133
1148.161	417.985
1151.070	418.844
