X	Y
545.000	300.000
545.788	298.588
546.719	297.167
547.784	295.738
548.978	294.302
550.291	292.859
551.719	291.409
553.252	289.955
554.884	288.495
556.608	287.031
558.416	285.563
560.301	284.092
562.256	282.618
564.274	281.143
566.347	279.666
568.468	278.188
570.630	276.711
572.825	275.234
575.047	273.758
577.289	272.283
579.542	270.812
581.799	269.343
584.055	267.877
586.300	266.416
588.528	264.960
590.732	263.509
592.905	262.064
595.040	260.625
597.138	259.194
599.202	257.769
601.234	256.351
603.237	254.940
605.214	253.536
607.165	252.139
609.095	250.749
611.005	249.367
612.899	247.992
614.778	246.624
616.645	245.264
618.502	243.912
620.352	242.567
622.198	241.230
624.041	239.901
625.885	238.580
627.732	237.267
629.584	235.962
631.444	234.665
633.314	233.376
635.197	232.096
637.095	230.824
639.010	229.561
640.946	228.306
642.905	227.060
644.888	225.823
646.894	224.593
648.922	223.372
650.970	222.157
653.036	220.949
655.118	219.746
657.215	218.549
659.325	217.356
661.446	216.166
663.575	214.981
665.713	213.797
667.855	212.616
670.001	211.437
672.150	210.258
674.298	209.079
676.445	207.900
678.589	206.720
680.727	205.539
682.858	204.355
684.980	203.168
687.092	201.978
689.191	200.784
691.277	199.585
693.346	198.381
695.397	197.171
697.429	195.954
699.439	194.731
701.427	193.500
703.394	192.263
705.342	191.020
707.271	189.773
709.183	188.523
711.080	187.271
712.963	186.017
714.832	184.763
716.691	183.510
718.540	182.259
720.380	181.010
722.213	179.765
724.041	178.525
725.864	177.291
727.684	176.064
729.503	174.845
731.321	173.634
733.141	172.434
734.964	171.244
736.790	170.066
738.622	168.902
740.461	167.751
742.308	166.615
744.165	165.496
746.033	164.393
747.912	163.308
749.803	162.239
751.704	161.186
753.616	160.149
755.538	159.126
757.470	158.118
759.411	157.124
761.362	156.143
763.321	155.174
765.289	154.218
767.266	153.273
769.250	152.338
771.241	151.415
773.240	150.501
775.246	149.596
777.258	148.700
779.276	147.812
781.300	146.931
783.330	146.057
785.365	145.190
787.405	144.329
789.449	143.472
791.498	142.621
793.551	141.773
795.606	140.931
797.663	140.097
799.719	139.278
801.774	138.476
803.823	137.696
805.867	136.943
807.903	136.221
809.930	135.534
811.944	134.886
813.946	134.283
815.932	133.727
817.901	133.225
819.852	132.779
821.782	132.394
823.689	132.076
825.572	131.827
827.429	131.652
829.257	131.556
831.056	131.543
832.823	131.618
834.557	131.784
836.255	132.046
837.916	132.407
839.538	132.862
841.118	133.409
842.655	134.043
844.146	134.760
845.590	135.557
846.983	136.429
848.324	137.373
849.612	138.384
850.843	139.458
852.016	140.593
853.128	141.783
854.178	143.024
855.163	144.313
856.081	145.646
856.931	147.019
857.709	148.428
858.415	149.869
859.050	151.339
859.619	152.837
860.128	154.362
860.582	155.911
860.985	157.483
861.344	159.077
861.663	160.691
861.948	162.324
862.203	163.973
862.435	165.638
862.647	167.317
862.846	169.009
863.037	170.711
863.224	172.422
863.413	174.141
863.609	175.866
863.818	177.596
864.044	179.328
864.291	181.063
864.558	182.799
864.841	184.536
865.139	186.275
865.449	188.014
865.771	189.754
866.100	191.495
866.436	193.236
866.775	194.978
867.116	196.719
867.457	198.460
867.796	200.201
868.129	201.941
868.456	203.681
868.773	205.420
869.080	207.157
869.373	208.893
869.650	210.628
869.909	212.361
870.149	214.092
870.367	215.821
870.563	217.548
870.736	219.272
870.886	220.994
871.011	222.712
871.111	224.427
871.185	226.139
871.232	227.847
871.252	229.551
871.243	231.251
871.205	232.946
871.137	234.637
871.039	236.323
870.909	238.004
870.746	239.680
870.550	241.350
870.321	243.014
870.057	244.672
869.757	246.324
869.422	247.970
869.053	249.609
868.650	251.242
868.214	252.869
867.746	254.489
867.246	256.103
866.714	257.711
866.153	259.313
865.562	260.908
864.941	262.497
864.292	264.079
863.616	265.655
862.912	267.225
862.182	268.789
861.426	270.346
860.646	271.896
859.840	273.441
859.012	274.979
858.160	276.510
857.286	278.035
856.391	279.554
855.475	281.066
854.539	282.572
853.585	284.071
852.613	285.563
851.624	287.048
850.619	288.526
849.599	289.998
848.564	291.463
847.515	292.920
846.454	294.371
845.381	295.814
844.297	297.250
843.202	298.679
842.099	300.101
840.987	301.515
839.867	302.922
838.740	304.321
837.607	305.712
836.465	307.095
835.313	308.467
834.147	309.828
832.965	311.175
831.767	312.509
830.548	313.828
829.308	315.131
828.044	316.416
826.754	317.682
825.436	318.928
824.087	320.152
822.705	321.355
821.288	322.533
819.835	323.687
818.342	324.814
816.807	325.914
815.230	326.986
813.606	328.028
811.935	329.038
810.214	330.017
808.445	330.965
806.631	331.882
804.774	332.770
802.875	333.629
800.937	334.461
798.962	335.267
796.953	336.047
794.910	336.802
792.838	337.534
790.737	338.243
788.609	338.930
786.458	339.596
784.286	340.243
782.093	340.870
779.883	341.479
777.658	342.072
775.419	342.648
773.170	343.209
770.911	343.756
768.646	344.289
766.377	344.810
764.105	345.320
761.833	345.819
759.563	346.309
757.295	346.790
755.029	347.261
752.764	347.724
750.499	348.178
748.234	348.623
745.968	349.060
743.700	349.489
741.429	349.909
739.156	350.321
736.878	350.725
734.597	351.121
732.310	351.510
730.017	351.891
727.717	352.264
725.410	352.629
723.096	352.988
720.772	353.339
718.440	353.683
716.097	354.020
713.744	354.351
711.380	354.674
709.003	354.991
706.614	355.302
704.211	355.606
701.794	355.904
699.363	356.196
696.917	356.481
694.460	356.759
691.991	357.030
689.514	357.293
687.028	357.548
684.537	357.793
682.041	358.029
679.543	358.255
677.043	358.470
674.544	358.674
672.046	358.867
669.552	359.048
667.063	359.216
664.581	359.371
662.107	359.512
659.642	359.640
657.190	359.752
654.750	359.850
652.325	359.931
649.916	359.997
647.524	360.046
645.152	360.078
642.801	360.092
640.473	360.087
638.169	360.064
635.890	360.022
633.638	359.960
631.413	359.879
629.212	359.780
627.033	359.665
624.873	359.535
622.731	359.391
620.603	359.234
618.488	359.067
616.383	358.891
614.286	358.706
612.195	358.514
610.107	358.317
608.019	358.116
605.930	357.912
603.838	357.707
601.739	357.502
599.632	357.299
597.514	357.098
595.384	356.902
593.237	356.711
591.073	356.527
588.889	356.351
586.683	356.185
584.452	356.030
582.195	355.887
579.918	355.752
577.630	355.621
575.340	355.489
573.059	355.351
570.794	355.201
568.555	355.035
566.352	354.848
564.194	354.634
562.090	354.389
560.049	354.108
558.081	353.786
556.195	353.417
554.399	352.996
552.704	352.520
551.119	351.982
549.653	351.378
548.315	350.703
547.115	349.951
546.061	349.118
545.163	348.198
544.428	347.189
543.850	346.096
543.413	344.930
543.104	343.702
542.909	342.423
542.813	341.104
542.802	339.755
542.864	338.388
542.982	337.014
543.143	335.643
543.334	334.286
543.540	332.954
543.747	331.657
543.940	330.408
544.107	329.215
544.243	328.078
544.347	326.988
544.421	325.935
544.465	324.913
544.480	323.911
544.465	322.922
544.422	321.936
544.352	320.946
544.254	319.941
544.129	318.915
543.978	317.857
543.805	316.763
543.620	315.632
543.435	314.467
543.264	313.271
543.118	312.044
543.010	310.790
542.952	309.509
542.958	308.206
543.038	306.880
543.206	305.535
543.473	304.172
543.853	302.794
544.358	301.403
545.000	300.000
