X	Y
536.000	343.000
536.851	341.921
537.833	340.967
538.940	340.129
540.169	339.397
541.515	338.761
542.973	338.211
544.539	337.737
546.208	337.329
547.975	336.977
549.836	336.671
551.787	336.401
553.822	336.158
555.938	335.931
558.129	335.710
560.391	335.486
562.720	335.248
565.110	334.987
567.558	334.696
570.058	334.373
572.605	334.023
575.195	333.647
577.821	333.248
580.480	332.828
583.166	332.390
585.874	331.936
588.600	331.468
591.337	330.988
594.082	330.501
596.829	330.006
599.573	329.508
602.309	329.008
605.032	328.508
607.738	328.012
610.420	327.521
613.075	327.039
615.696	326.566
618.280	326.106
620.821	325.662
623.314	325.235
625.754	324.828
628.135	324.443
630.454	324.082
632.706	323.749
634.893	323.443
637.020	323.164
639.092	322.911
641.117	322.685
643.097	322.484
645.040	322.308
646.951	322.158
648.834	322.031
650.696	321.929
652.542	321.850
654.378	321.795
656.208	321.762
658.038	321.752
659.874	321.763
661.721	321.796
663.585	321.851
665.470	321.925
667.384	322.021
669.328	322.135
671.301	322.268
673.304	322.417
675.333	322.581
677.388	322.759
679.466	322.948
681.567	323.147
683.689	323.355
685.830	323.569
687.989	323.789
690.164	324.013
692.353	324.239
694.556	324.466
696.771	324.692
698.995	324.915
701.229	325.134
703.469	325.348
705.715	325.554
707.965	325.751
710.217	325.938
712.471	326.113
714.723	326.277
716.971	326.431
719.214	326.580
721.448	326.723
723.671	326.865
725.880	327.006
728.073	327.149
730.248	327.297
732.402	327.452
734.533	327.615
736.637	327.789
738.713	327.977
740.759	328.179
742.771	328.400
744.747	328.640
746.685	328.903
748.582	329.190
750.436	329.503
752.245	329.845
754.005	330.218
755.719	330.622
757.389	331.056
759.020	331.520
760.615	332.011
762.178	332.529
763.713	333.073
765.224	333.642
766.714	334.234
768.188	334.848
769.648	335.484
771.100	336.140
772.546	336.815
773.990	337.509
775.437	338.219
776.890	338.945
778.352	339.686
779.822	340.444
781.298	341.221
782.778	342.019
784.260	342.842
785.741	343.690
787.221	344.567
788.696	345.475
790.164	346.416
791.624	347.393
793.074	348.408
794.511	349.463
795.933	350.560
797.338	351.702
798.724	352.892
800.089	354.131
801.431	355.423
802.747	356.766
804.032	358.159
805.284	359.597
806.498	361.077
807.669	362.596
808.794	364.150
809.869	365.737
810.889	367.351
811.850	368.991
812.748	370.653
813.580	372.333
814.340	374.027
815.026	375.734
815.632	377.448
816.155	379.166
816.590	380.886
816.934	382.604
817.183	384.316
817.338	386.023
817.404	387.725
817.383	389.425
817.281	391.124
817.100	392.823
816.844	394.523
816.519	396.226
816.126	397.933
815.670	399.646
815.156	401.366
814.586	403.094
813.965	404.831
813.296	406.580
812.583	408.341
811.831	410.115
811.043	411.905
810.222	413.711
809.370	415.531
808.491	417.363
807.584	419.205
806.652	421.055
805.698	422.910
804.721	424.769
803.725	426.628
802.711	428.486
801.681	430.340
800.637	432.188
799.579	434.028
798.511	435.858
797.434	437.675
796.350	439.477
795.260	441.262
794.166	443.028
793.070	444.772
791.974	446.491
790.880	448.185
789.787	449.851
788.694	451.490
787.596	453.104
786.489	454.693
785.371	456.259
784.238	457.803
783.085	459.327
781.909	460.831
780.707	462.318
779.475	463.787
778.209	465.241
776.906	466.681
775.561	468.108
774.172	469.523
772.735	470.927
771.245	472.322
769.700	473.709
768.096	475.090
766.429	476.465
764.698	477.834
762.906	479.198
761.057	480.555
759.154	481.904
757.201	483.245
755.201	484.576
753.158	485.896
751.074	487.205
748.954	488.501
746.801	489.785
744.619	491.054
742.410	492.307
740.178	493.545
737.927	494.766
735.660	495.969
733.381	497.153
731.093	498.317
728.799	499.461
726.503	500.582
724.209	501.682
721.919	502.758
719.638	503.809
717.368	504.835
715.113	505.835
712.873	506.809
710.647	507.757
708.433	508.678
706.230	509.574
704.037	510.444
701.852	511.288
699.676	512.106
697.506	512.899
695.341	513.666
693.180	514.408
691.021	515.125
688.865	515.817
686.709	516.483
684.552	517.125
682.393	517.742
680.231	518.335
678.064	518.903
675.892	519.446
673.714	519.965
671.527	520.460
669.331	520.931
667.126	521.378
664.910	521.801
662.687	522.199
660.457	522.573
658.222	522.922
655.982	523.247
653.740	523.546
651.497	523.821
649.253	524.070
647.011	524.294
644.771	524.492
642.536	524.665
640.305	524.812
638.081	524.932
635.865	525.026
633.659	525.094
631.462	525.136
629.278	525.150
627.107	525.138
624.951	525.099
622.810	525.032
620.687	524.939
618.583	524.816
616.499	524.661
614.439	524.472
612.403	524.246
610.393	523.980
608.413	523.671
606.463	523.318
604.545	522.917
602.662	522.466
600.815	521.961
599.006	521.401
597.238	520.783
595.511	520.103
593.829	519.360
592.192	518.551
590.604	517.672
589.065	516.722
587.578	515.698
586.144	514.599
584.760	513.427
583.425	512.185
582.138	510.876
580.896	509.504
579.697	508.070
578.540	506.577
577.423	505.029
576.344	503.429
575.301	501.778
574.293	500.081
573.318	498.339
572.373	496.555
571.457	494.734
570.569	492.876
569.706	490.985
568.866	489.065
568.048	487.117
567.250	485.145
566.470	483.151
565.704	481.137
564.952	479.107
564.210	477.063
563.476	475.008
562.748	472.944
562.022	470.874
561.298	468.800
560.572	466.726
559.842	464.653
559.106	462.584
558.361	460.522
557.605	458.470
556.836	456.429
556.051	454.404
555.247	452.395
554.423	450.407
553.575	448.441
552.703	446.500
551.802	444.587
550.873	442.703
549.922	440.846
548.953	439.016
