vol,m.s,cm.s
40,0.09,9
41,0.1,10
42,0.11,11
43,0.11,11
44,0.12,12
45,0.12,12
46,0.13,13
47,0.135,13.5
48,0.14,14
49,0.145,14.5
50,0.15,15
51,0.15,15
52,0.16,16
53,0.17,17
54,0.175,17.5
55,0.175,17.5
56,0.18,18
57,0.18,18
58,0.19,19
59,0.195,19.5
60,0.2,20
61,0.205,20.5
62,0.21,21
63,0.215,21.5
64,0.22,22
65,0.22,22
66,0.23,23
67,0.24,24
68,0.24,24
69,0.245,24.5
70,0.25,25
71,0.26,26
72,0.26,26
73,0.26,26
74,0.27,27
75,0.275,27.5
76,0.275,27.5
77,0.28,28
78,0.285,28.5
79,0.29,29
80,0.3,30
81,0.3,30
82,0.305,30.5
83,0.31,31
84,0.315,31.5
85,0.32,32
86,0.32,32
87,0.33,33
88,0.33,33
89,0.34,34
90,0.345,34.5
91,0.35,35
92,0.355,35.5
93,0.355,35.5
94,0.36,36
95,0.37,37
96,0.37,37
97,0.38,38
98,0.38,38
99,0.385,38.5
100,0.39,39
101,0.395,39.5
102,0.4,40
103,0.4,40
104,0.41,41
105,0.42,42
106,0.425,42.5
107,0.425,42.5
108,0.43,43
109,0.43,43
110,0.44,44
111,0.45,45
112,0.45,45
113,0.46,46
114,0.46,46
115,0.465,46.5
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
